u,x,phi,f,h,phiprime,A0prime,X,f2phi,f2X,f2F,f2Y,f3,f3X,f3XX,f4,f4X,f4XX,f4XXX,tf4,f2XX,f2XF,f2XY,f2FF,f2FY,f2YY
0.7144892857142857,1.3996011136826003,0.8595212796567011,0.2891996045362359,0.4088739038283834,-1.2446969390586384,0.0002386696626286,-0.3167281325983083,0.8386718211330938,-0.07813727229791916,611767.8681918446,482880.9040442855,-0.0011817759839499,-0.0069909249359732,21443352.96923544,-0.0008164023079909,0.0003082177841999,2.187641652858813,118264297.72352658,0.0,6.151163767743263e-05,-1946745.6452589047,-12014.945849675174,7734218.60256732,7815813.74073635,6233513.713863582
0.7144857142857143,1.399608109729276,0.8595125715944903,0.2892023131751374,0.4088572376489359,-1.2447267605042833,0.0002556853515115,-0.3167303988039333,0.8859720149072171,-0.08937381662043199,609949.6449560168,481442.2984632054,-0.0012656151364952,-0.0074847535808491,21322477.27474243,-0.0008743124150203,0.0003300976180568,2.2179004881074107,117593096.20511748,0.0,8.199095696254102e-05,-1940487.7471169916,-11617.465311096614,7698904.955649372,7675389.686801518,6118227.4185741935
0.7144821428571428,1.3996151058458923,0.8595038632366557,0.2892050219440483,0.4088405728979146,-1.2447565636638662,0.0002736576094969,-0.3167326559365909,0.93515518055665,-0.10203745180075802,608135.1942111009,480006.7048796231,-0.0013541329333208,-0.0080059616966739,21198373.484161716,-0.0009354534964463,0.0003531996042058,2.246471454043707,116904309.25254373,0.0,0.00010365843955560134,-1934257.2702345185,-11232.123011751504,7658284.513964565,7535896.639195507,6003881.040381268
0.7144785714285714,1.3996221020324513,0.8594951545833295,0.2892077308429318,0.4088239095762262,-1.2447863415527494,0.0002926244574095,-0.3167349004430967,0.9862575843338572,-0.11628447000825119,606324.5054978144,478574.12021892914,-0.0014475128790946,-0.0085556103503021,21071157.267398175,-0.0009999522261741,0.0003775717592465,2.273393882985001,116198570.03212896,0.0,0.00012654141576234318,-1928053.899381373,-10858.679754740404,7612533.299863217,7397353.795773091,5890484.916340526
0.714475,1.3996290982889534,0.8594864456346439,0.289210439871751,0.408807247684777,-1.2448161207219863,0.000312624676425,-0.3167371458364785,1.0393081130392356,-0.13228538980012136,604517.6010095811,477144.5414065139,-0.0015459419992154,-0.0091347801814059,20940944.294356663,-0.0010679377054041,0.0004032630260229,2.29870710724859,115476511.71019676,0.0,0.00015066721588849588,-1921877.3193274427,-10496.896343163882,7561827.335695631,7259780.354389047,5778049.383507686
0.7144714285714285,1.3996360946154,0.8594777363903964,0.2892131490305741,0.4087905872219946,-1.2448459455822076,0.0003336977975253,-0.316739414715339,1.0943486243423228,-0.15022596308755165,602714.5199190527,475717.9653677681,-0.0016496108223906,-0.0097445714105578,20807850.234942064,-0.0011395414478986,0.000430323266965,2.3224504591517747,114738767.45307086,0.0,0.00017606317023978918,-1915727.2148426166,-10146.533580122508,7506342.6438121265,7123195.51289816,5666584.778938471
0.7144678571428571,1.399643091011792,0.8594690268503323,0.2892158583194854,0.4087739281859245,-1.2448757776797417,0.0003558840903324,-0.3167416875090805,1.1514247556522277,-0.17030822524023195,600915.2208816397,474294.389028082,-0.001758713282174,-0.0103861030938916,20671990.759059247,-0.0012148973142732,0.0004588032404891,2.3446632710118536,113985970.4270748,0.0,0.00020275660912195267,-1909603.2706967806,-9807.35226871684,7446255.24656301,6987618.469155201,5556101.4396886015
0.7144642857142857,1.3996500874781306,0.859460317014584,0.2892185677384482,0.4087572705774699,-1.2449055829077686,0.0003792245513428,-0.3167439468625917,1.210564801392281,-0.19275159926169333,599119.6671897406,472873.80931284645,-0.0018734465985777,-0.0110605122062896,20533481.536613073,-0.0012941414335916,0.0004887545734389,2.365384875146125,113218753.79853232,0.0,0.00023077486284071532,-1903505.171659825,-9479.113212047452,7381741.166298591,6853068.4210149525,5446609.702813798
0.7144607142857142,1.399657084014417,0.8594516068832831,0.2892212772874257,0.4087406143975371,-1.24493537045636,0.0004037608915903,-0.3167461974537988,1.2718006888729063,-0.2177940482718314,597327.8640800109,471456.2231474516,-0.0019940112584105,-0.0117689536615999,20392438.237508412,-0.0013774121866858,0.000520229753572,2.3846546038718883,112437750.73376694,0.0,0.00026014526170180745,-1897432.6025016347,-9161.577213214901,7312976.425369183,6719564.56633219,5338119.905369779
0.7144571428571428,1.399664080620651,0.8594428964565625,0.2892239869663814,0.408723959647033,-1.2449651376747017,0.0004295355237563,-0.3167484379351142,1.3351669495133254,-0.24569327260886645,595539.8053531843,470041.62745728827,-0.0021206109454933,-0.0125125998705483,20248976.531650145,-0.0014648501578962,0.00055328211156,2.4025117895064434,111643594.39910237,0.0,0.0002908951360109579,-1891385.2479921,-8854.505075319757,7240137.046125096,6587126.102961695,5230642.384412267
