u,x,cminus,cplus,c55,c56,disc,cV,alpha7
0.7079894973743436,1.412450331125828,-1480.8144554853504,-1480.8144554853504,-2961.628910970701,3299902.350574971,-4428363.596002385,0.04841275285077985,11.753601937248336
0.7079632408102026,1.4125027153324892,-1477.7827881748892,-1477.7827881748892,-2955.5655763497784,3279933.1505831317,-4384364.726228729,0.04855390190859978,11.732938487625566
0.7079369842460614,1.41255510342489,-1473.1699879079376,-1473.1699879079376,-2946.3399758158753,3253181.9233566225,-4331808.440335797,0.048695321441259785,11.71234180351723
0.7079107276819204,1.4126074954034622,-1473.025930943099,-1473.025930943099,-2946.051861886198,3245975.5966166034,-4304680.813543281,0.0488370125474529,11.691811444550506
0.7078844711177794,1.4126598912686386,-1446.8114394684617,-1446.8114394684617,-2893.6228789369234,3125861.01888082,-4130390.710016071,0.04897896986960762,11.671347955140677
0.7078582145536384,1.4127122910208516,-1420.8496237071322,-1420.8496237071322,-2841.6992474142644,3007349.1571195736,-3954142.0157234976,0.04912123243719636,11.650945159707693
0.7078319579894974,1.4127646946605337,-1439.8106033475278,-1439.8106033475278,-2879.6212066950557,3083205.456824001,-4040603.5332481153,0.0492638460973752,11.630595980810625
0.7078057014253563,1.412817102188118,-1472.86156560697,-1472.86156560697,-2945.72313121394,3219436.454797879,-4200461.053422656,0.04940676660275359,11.610306949679833
0.7077794448612152,1.4128695136040363,-1499.8268477345925,-1499.8268477345925,-2999.653695469185,3328568.9136831285,-4316353.361990575,0.04954992751490819,11.590087760928295
0.7077531882970742,1.412921928908722,-1523.2151187833128,-1523.2151187833128,-3046.4302375666257,3421220.934714698,-4404146.546498546,0.049693264730537284,11.569947561606492
0.7077269317329332,1.4129743481026076,-1556.4089458828405,-1556.4089458828405,-3112.817891765681,3554054.8794849375,-4526584.290643211,0.049836712678145746,11.549895523399103
0.7077006751687922,1.4130267711861262,-1584.5856661918879,-1584.5856661918879,-3169.1713323837757,3663118.4977003643,-4608827.056798302,0.049980199438197,11.529941552677913
0.7076744186046511,1.413079198159711,-1548.1868146946008,-1548.1868146946008,-3096.3736293892016,3500002.7869193465,-4412481.49490053,0.050123645512842464,11.510096429155322
0.7076481620405101,1.4131316290237943,-1474.727065560717,-1474.727065560717,-2949.454131121434,3185634.48806056,-4043258.2806529477,0.05026710717601902,11.490351054256688
0.707621905476369,1.4131840637788098,-1411.5534437310598,-1411.5534437310598,-2823.1068874621196,2917237.087765786,-3699015.8530270867,0.05041070424608293,11.470687368925908
0.707595648912228,1.4132365024251905,-1350.2831755064283,-1350.2831755064283,-2700.5663510128566,2658168.9274653224,-3339617.093638395,0.05055455408299421,11.45108801933266
0.707569392348087,1.413288944963369,-1281.326029334063,-1281.326029334063,-2562.652058668126,2367190.7060978753,-2901577.2505955175,0.05069877589007052,11.431535732603491
0.7075431357839459,1.4133413913937796,-1253.8370027058202,-1253.8370027058202,-2507.6740054116403,2246283.082849527,-2696703.413980847,0.05084349837811764,11.412012229325871
0.7075168792198049,1.4133938417168548,-1295.1164458198878,-1295.1164458198878,-2590.2328916397755,2410613.589697844,-2933147.9258588227,0.05098878879165633,11.39250827500591
