u,x,f4_old,f4_new,f3_new,f2F_new,f2_new,f2X_new,E00,E11,JA,A2_res
0.689688672168042,1.4499295701877948,-1.4905979932580475,15.557146981988783,-38.25899510145988,-85.52374540604873,-97.31987213123675,122.11218067761939,-1.609823385706477e-14,-1.7430501486614958e-14,-1.85197431453717e-14,1.4210854715202004e-13
0.689714928732183,1.449874373225726,-1.4914484769903948,15.584225747948063,-38.3183777962617,-85.67432972554019,-97.50148322499992,122.25146297455522,2.986499936241671e-14,3.977373985719623e-14,7.550119659562164e-15,8.526512829121202e-14
0.689741185296324,1.4498191804660523,-1.4922999568576492,15.604594029294876,-38.36358392138374,-85.7908893662586,-97.64472888979286,122.35695552960628,-3.885780586188048e-16,1.609823385706477e-14,1.835486794230468e-14,5.684341886080802e-14
0.6897674418604651,1.449763991908294,-1.493152036991146,15.616284539775434,-38.39045485766541,-85.86342415093074,-97.73830094940764,122.4187270959427,-2.220446049250313e-15,1.8041124150158794e-14,2.3779177484617325e-15,1.1368683772161603e-13
0.6897936984246061,1.4497088075519715,-1.494004118373305,15.615874041874052,-38.391754281067875,-85.87453625648683,-97.76252921919537,122.41949738362786,6.661338147750939e-15,-2.3592239273284576e-15,1.8398567237791557e-14,5.684341886080802e-14
0.6898199549887472,1.4496536273966047,-1.4948557873180668,15.618107180716787,-38.3986458158929,-85.89907760158167,-97.80196007096936,122.43367305116192,2.1260770921571748e-14,-1.9262369477246466e-14,-2.036051392378577e-14,3.126388037344441e-13
0.6898462115528882,1.4495984514417144,-1.4957077563141,15.637934422648584,-38.442729503030606,-86.01298167719932,-97.94239856966335,122.53671149587544,-2.4424906541753444e-15,1.609823385706477e-14,2.4534081079095714e-14,-1.2789769243681803e-13
0.6898724681170292,1.4495432796868206,-1.4965609818227374,15.674499915664718,-38.522197674748526,-86.21193389554634,-98.17900194401197,122.72430400737306,4.163336342344337e-15,1.5404344466674047e-14,-1.881883026698922e-14,5.684341886080802e-14
0.6898987246811703,1.4494881121314434,-1.4974163898303292,15.72746356286761,-38.6363327496087,-86.49423756843959,-98.50988417055903,122.99474496116528,-2.4424906541753444e-15,2.4980018054066022e-15,-1.543979315153255e-15,-1.7053025658242404e-13
0.6899249812453113,1.449432948775104,-1.4982749254137235,15.79830069872788,-38.78825392461656,-86.86741791423265,-98.94358213339962,123.35549295502719,3.852473895449293e-14,6.378231276471524e-14,1.7610672148426207e-14,-5.684341886080802e-14
0.6899512378094523,1.449377789617323,-1.4991373955144751,15.875512913802268,-38.95366257581519,-87.27308857693089,-99.41412811201513,123.74851270021333,1.6819878823071122e-14,4.9904524956900786e-14,1.0016096665640184e-14,-1.7053025658242404e-13
0.6899774943735933,1.449322634657621,-1.5000036073289422,15.942323119199028,-39.09710341304185,-87.62601275624417,-99.8251696599714,124.08910939703875,3.4416913763379853e-15,1.0963452368173421e-14,-2.2161830461965263e-14,-5.684341886080802e-14
0.6900037509377344,1.4492674838955182,-1.5008728930671604,15.99811963412302,-39.217282813401226,-87.92306256101594,-100.17315083138496,124.37418876537363,-1.3600232051658168e-14,-7.327471962526033e-15,6.799172975572856e-14,-7.105427357601002e-14
0.6900300075018755,1.4492123373305357,-1.5017447454079638,16.0452854631011,-39.31923601565633,-88.17632900040249,-100.47172361924875,124.61577584796996,8.604228440844963e-15,1.50712775592865e-14,-1.473444109368439e-14,-4.263256414560601e-14
0.6900562640660165,1.4491571949621946,-1.5026186310656986,16.082788922359764,-39.40078219507185,-88.38055222228114,-100.71492336222171,124.80865578661536,-6.8833827526759706e-15,-3.214095656289828e-14,8.473815661624435e-15,1.4210854715202004e-14
0.6900825206301575,1.449102056790016,-1.5034940073686371,16.1099802669945,-39.460547716754235,-88.5324116118016,-100.89897606318345,124.94954103466435,9.103828801926284e-15,7.16093850883226e-15,-1.1563433661188097e-14,1.1368683772161603e-13
