u,x,phi,A0prime,f3,f4,N4,tilde_f3_reserve,JAres,alpha4,alpha6,alpha7,Codd,odd_angular_margin_lb
0.6651429272772975,1.5034362675905006,0.7281057530714768,0.018613285213586215,0.11732830683230701,-0.37331029755917233,-0.01492405047384491,0.0,-1.214306433183765e-17,2.4926662722696253,-0.03705954619749886,0.330436632410732,0.05521199890755409,1.321746529642928
0.6651674743069362,1.5033807854810382,0.7281690866152887,0.01861479308741448,0.11731093009935471,-0.3732675848146056,-0.014923710831080775,0.0,2.688821387764051e-17,2.4918506753479788,-0.03705943928126582,0.33048638108838413,0.05520717036227187,1.3219455243535365
0.6651920185118264,1.503325313850291,0.7282324201591005,0.018616289751658303,0.11729380892963319,-0.37322479374081285,-0.014923373158497753,0.0,3.903127820947816e-17,2.491034141330118,-0.03705933400847497,0.3305361147308865,0.055202333736114675,1.322144458923546
0.6652152683130151,1.503272771438332,0.7282924203585012,0.01861769730322536,0.1172779010820511,-0.37318414951849194,-0.014923055078345442,0.0,-6.158268339717665e-17,2.4902597855374973,-0.03705923579281862,0.33058321690641723,0.05519773933842689,1.322332867625669
0.6652398070240795,1.503217320192331,0.728355753902313,0.018619172135971727,0.11726136350045471,-0.37314116874736364,-0.014922721148209202,0.0,8.066464163292153e-17,2.489441504965336,-0.03705913372543026,0.3306329211809985,0.055192881497868496,1.322531684723994
0.665264342917586,1.5031618794033,0.7284190874461248,0.018620635756784455,0.1172449655525691,-0.37309815971417243,-0.014922389038533459,0.0,-6.071532165918825e-18,2.4886220351303545,-0.037059033311168804,0.33068261036950725,0.05518802297485952,1.322730441478029
0.6652888759959756,1.5031064490638637,0.7284824209899365,0.018622088164886686,0.11722858390384802,-0.37305517571532015,-0.014922058698567041,0.0,-9.80118763926896e-17,2.4878013191207007,-0.03705893455518835,0.33073228447132674,0.05518317164247699,1.322929137885307
0.6653121152651561,1.5030539457431285,0.7285424211893372,0.018623453786735793,0.1172129678006847,-0.3730145253921179,-0.014921747331399235,0.0,4.7704895589362195e-17,2.487022312683413,-0.03705884253122303,0.33077933022965045,0.05517858940787195,1.3231173209186018
0.6653366428684838,1.5029985357317357,0.728605754733149,0.018624884357368934,0.11719626432811091,-0.37297174295624047,-0.014921420292195873,0.0,1.8214596497756474e-17,2.4861985406903284,-0.03705874701931843,0.3308289749503774,0.055173774659217405,1.3233158998015095
0.6653611676638926,1.5029431361482013,0.7286690882769609,0.018626303713061437,0.11717925807292454,-0.37292912347961277,-0.014921094790940417,0.0,1.2663481374630692e-16,2.4853728609338797,-0.03705865317991292,0.3308786045739269,0.05516898748887968,1.3235144182957077
0.665385689653826,1.5028877469851516,0.7287324218207727,0.018627711853076812,0.11716203203214906,-0.3728866310990855,-0.014920770817486606,0.0,5.117434254131581e-17,2.4845455741840867,-0.03705856101358341,0.3309282190588185,0.05516422261084378,1.323712876235274
0.665408918427049,1.5028352826467766,0.7287924220201734,0.01862903553403838,0.11714561877107041,-0.3728464453320733,-0.014920465425648174,0.0,1.5612511283791264e-17,2.4837603838000413,-0.03705847524119416,0.33097520824625665,0.0551597221364138,1.3239008329850266
0.6654334349607026,1.502779913755093,0.7288557555639852,0.01863042183092329,0.11712830943540742,-0.3728040514464146,-0.014920144810718206,0.0,-5.0306980803327406e-17,2.4829303586045155,-0.03705838633224011,0.3310247931102819,0.055154978687365415,1.3240991724411275
0.6654579486960861,1.502724555262167,0.728919089107797,0.01863179691001979,0.11711113415016942,-0.372761631690557,-0.01491982611710445,0.0,-7.45931094670027e-17,2.4820990857338647,-0.03705829909562403,0.3310743626914955,0.055150234959875775,1.324297450765982
0.6654824596356453,1.5026692071606282,0.7289824226516088,0.01863316077063171,0.11709421277070958,-0.3727191342353613,-0.014919509478140976,0.0,-3.2959746043559335e-17,2.481267067504618,-0.037058213531097,0.3311239169409483,0.055145483302581955,1.3244956677637931
0.6655056779489971,1.5026167816957947,0.7290424228510095,0.018634442500131614,0.11707849212479549,-0.37267876898286356,-0.014919211413906853,0.0,5.811323644522304e-17,2.4804776598204343,-0.03705813401286537,0.33117084889152376,0.05514096956946686,1.324683395566095
