u,M11_1,M13_1,M33_1,M12_0,M23_0,M22_0,M1,M2,C1,C2,Disc,cV,cminus,cplus
0.6863803450862715,787842.2597410379,33892865.01589783,314291904.4014151,279920.1851129043,-15498886.79818017,-674854.4282805199,-1533967.2046370592,11354.292150557902,1596444.0246310025,100589088791.5179,2146277168613.9612,1.0000000000000002,65713.1098757491,1530730.9147552534
0.6864066016504126,786881.937797041,29833259.71802064,180679339.12724352,164243.45093625458,-17450609.353741817,-677134.5455552507,-1537647.9450317728,11370.797705607569,1600320.445309508,101110823291.58757,2156582234509.2712,1.0000000000000002,65894.90369483072,1534425.5416146773
0.6864328582145536,747662.4915784843,29489799.89549586,177978156.39611673,169845.28501351678,-17426361.94676691,-679154.821422884,-1540835.2966193636,11383.082257321808,1603679.0289108101,101562977588.96246,2165534517412.469,1.0000000000000002,66051.75337676541,1537627.2755340447
0.6864591147786947,712456.2713595784,31799270.278975684,260263512.18036175,244842.16011441022,-16282921.143629763,-681495.9691113806,-1544634.8777302764,11400.420731160317,1607679.5919757038,102103371043.14816,2176220186282.5728,1.0000000000000002,66238.9238553393,1541440.6681203647
0.6864853713428357,741993.2391215601,32981821.174247082,288684531.2345247,261518.70498940803,-16091836.215925831,-683994.8211669548,-1548850.9365817052,11420.355184720414,1612110.9508278745,102696589211.40002,2188115360933.5532,1.0000000000000004,66441.49485827715,1545669.4559695972
0.6865116279069767,760539.9095157053,33542238.90660456,299818367.56728053,266910.5328105921,-16084252.833678246,-686506.4928863723,-1552967.6382679022,11440.119230479173,1616444.2000525335,103285331867.4545,2199750524413.657,1.0000000000000002,66644.30161033908,1549799.8984421943
0.6865378844711177,784886.0117502556,34419094.58966261,319653515.1890683,279455.746951184,-15961369.211072482,-689045.0083007555,-1557269.0092351716,11460.481957401766,1620964.123479668,103892762002.83728,2211953641596.8594,0.9999999999999999,66850.15656146233,1554113.9669182058
0.6865641410352588,808882.3912465655,35314963.745159365,340232442.4570477,291877.7438961046,-15840888.598923188,-691614.2580721162,-1561514.4913985888,11480.961594133449,1625431.063515182,104501369738.66774,2224020663285.4243,1.0000000000000004,67057.99252033758,1558373.0709948442
0.6865903975993999,780768.3399458578,37283925.93841267,409566766.24009943,349760.25745022914,-14982324.510131832,-694293.8509783604,-1566059.9085457544,11503.226591810413,1630207.8447913637,105148603116.87546,2236983204751.801,1.0000000000000002,67276.53510102665,1562931.3096903372
0.6866166541635409,752890.5294896383,37296855.58270182,414868162.75260806,362691.2048347243,-14864520.047900278,-697253.0542618709,-1571174.571303205,11529.910916604837,1635579.54163955,105877638726.05733,2251609882125.611,1.0,67521.5051098339,1568058.036529716
0.6866429107276819,756332.3259960721,34157581.293556616,309049343.77410984,271352.99052780285,-16443500.284609534,-700026.865321418,-1575884.4926568894,11553.368420493502,1640529.144745642,106553180074.30266,2265123154462.657,1.0,67748.26782144175,1572780.8769242004
0.6866691672918229,781438.7630370035,31271283.859535694,205874766.76762247,191446.95036786213,-17827245.386367906,-702452.2853607896,-1579831.682033142,11570.973812068605,1644683.6072123938,107125700855.7591,2276481364410.135,1.0,67941.15335294208,1576742.4538594517
0.6866954238559639,799384.3471169042,29141826.945056643,129472484.33064151,116665.6157813844,-19120202.04711014,-704581.5700923357,-1583128.0444895609,11583.710929562827,1648159.6111916648,107610006857.75175,2285990076532.453,0.9999999999999998,68105.25633301947,1580054.3548586452
0.6867216804201051,811394.8807649112,25931528.008796915,19427810.24835658,33069.511122930446,-20549790.576730743,-706393.3491120917,-1585834.0440789424,11591.41221766453,1651015.5369446164,108007386465.0029,2293822757372.5083,1.0000000000000004,68239.19699774403,1582776.3399468723
0.6867479369842461,813201.2812291036,20191702.68824394,-170446481.640831,-120787.6993086749,-23118623.56469232,-707792.1779291417,-1587578.586236495,11592.280874264188,1652871.791625429,108276159751.82219,2298880520543.7666,1.0000000000000002,68332.91459186363,1584538.8770335652
0.6867741935483871,772575.9829512223,18791059.68329323,-206657521.6583407,-147329.91716552782,-23590877.70835447,-708694.046360279,-1588295.2734739746,11585.07378663913,1653654.205437652,108399664703.91034,2300973572345.991,1.0000000000000009,68379.08664488455,1585275.1187927676
0.6868004501125281,754057.9901573631,25736932.0492012,24300190.918611765,46510.49475961435,-20467033.471749675,-710081.5133330118,-1590006.8667800184,11585.713187266894,1655476.3214742609,108664620473.03032,2305943369069.829,1.0000000000000007,68471.51306488004,1587004.8084093807
0.6868267066766691,744615.2245366743,33103262.955227535,266213447.14821053,238344.50985771394,-17395426.223439742,-712244.5330198101,-1593436.9395578392,11598.828138537961,1659088.4054220992,109166018739.52223,2315910262047.9546,1.0000000000000004,68638.4493407727,1590449.9560813266
0.6868529632408101,754655.020273742,40578038.413164884,506162091.3265202,430487.2508600085,-14336455.307549667,-715143.9300989725,-1598314.4331194428,11623.3365668585,1664216.0575808024,109878966428.92819,2330099220594.0757,1.0000000000000004,68874.9024466091,1595341.1551341931
0.6868792198049513,783497.4875664687,50000251.01325905,804574376.708816,655703.7125144748,-10754627.431446556,-718831.3751676885,-1604927.016215192,11660.490966754574,1671151.1222692674,110834663868.41446,2349407417988.1743,1.0000000000000007,69186.72086029651,1601964.4014089708
0.6869054763690923,875409.8473429214,57207540.47291212,1012922201.2820151,817086.1572176005,-8239791.35282452,-723298.5043197633,-1613154.2716368146,11709.679221845634,1679772.7068100257,112025398547.74455,2373534752352.903,1.0000000000000002,69572.33426202356,1610200.3725480023
0.6869317329332333,868354.5893395913,52741774.3919208,864462585.5099194,694780.0836327791,-10386842.588064153,-727850.6430460974,-1621571.2455739176,11760.067576822434,1688591.341651152,113248073960.93756,2398348423255.4873,1.0000000000000007,69965.56950323179,1618625.77214792
0.6869579894973743,772352.3993796374,44076367.36994158,602372469.1301043,498199.0589742734,-13736353.07591803,-731692.5914815547,-1628404.7341215464,11798.58634920897,1695760.8798221904,114254353943.0385,2418587545763.1753,1.0000000000000002,70290.00372968626,1625470.8760925042
