u,x,bestK_grid,lambda_grid
0.6148312078019504,1.626462657247093,0.7974747552300169,150.0
0.6148574643660915,1.6263932016032114,1.4379444036828952,150.0
0.6148837209302326,1.626323751891074,0.6901902003112413,150.0
0.6149099774943736,1.6262543081099217,1.3041672027492588,150.0
0.6149362340585146,1.626184870258994,1.0002050157213282,150.0
0.6149624906226556,1.6261154383375318,1.1074339932412458,150.0
0.6149887471867966,1.6260460123447755,1.223318629754731,150.0
0.6150150037509378,1.6259765922799656,0.7892792181707322,150.0
0.6150412603150788,1.625907178142343,1.5269926200505384,150.0
0.6150675168792198,1.6258377699311488,0.6876299838703795,150.0
0.6150937734433608,1.625768367645624,1.3686004118668873,150.0
0.6151200300075018,1.6256989712850096,1.034873936348297,150.0
0.6151462865716429,1.6256295808485468,1.1523952641218749,150.0
0.615172543135784,1.6255601963354775,1.2711401948999075,150.0
0.615198799699925,1.6254908177450431,0.8193432814633237,150.0
0.615225056264066,1.6254214450764852,1.586418105795334,150.0
0.615251312828207,1.6253520783290456,0.711224703894683,150.0
0.6152775693923481,1.625282717501966,1.4232134724847996,150.0
0.6153038259564891,1.6252133625944891,1.0699564367476273,150.0
0.6153300825206302,1.6251440136058568,1.210491442936291,150.0
0.6153563390847712,1.6250746705353116,1.2975670330628957,150.0
0.6153825956489122,1.6250053333820955,0.8946708294118361,150.0
0.6154088522130533,1.6249360021454518,1.624711504731674,150.0
0.6154351087771943,1.624866676824623,0.7742181392383513,150.0
0.6154613653413353,1.6247973574188517,1.479057781917489,150.0
0.6154876219054763,1.624728043927381,1.1149039773692706,150.0
0.6155138784696174,1.624658736349454,1.2941358170130042,150.0
0.6155401350337584,1.6245894346843144,1.29801488074871,150.0
0.6155663915978995,1.6245201389312047,1.0231922498727246,150.0
0.6155926481620405,1.6244508490893692,1.6193493882109176,150.0
0.6156189047261815,1.624381565158051,0.8647470924797565,150.0
0.6156451612903225,1.6243122871364948,1.5074201903829632,150.0
0.6156714178544636,1.6242430150239435,1.1438215823184181,150.0
0.6156976744186047,1.624173748819641,1.3748614609775167,150.0
0.6157239309827457,1.6241044885228324,1.2485548853648512,150.0
0.6157501875468867,1.6240352341327615,1.1867907791795747,150.0
0.6157764441110277,1.6239659856486728,1.560982901918025,150.0
0.6158027006751687,1.6238967430698106,0.9899890722555555,150.0
0.6158289572393099,1.6238275063954195,1.526391129829372,150.0
0.6158552138034509,1.6237582756247448,1.1812440017193069,150.0
0.6158814703675919,1.6236890507570314,1.4832141440396416,150.0
0.6159077269317329,1.6236198317915238,1.1711262882309155,150.0
0.6159339834958739,1.6235506187274678,1.4098975863444958,150.0
0.615960240060015,1.623481411564108,1.4599052027835522,150.0
0.615986496624156,1.6234122103006905,1.1603686441007128,150.0
0.6160127531882971,1.6233430149364607,1.5348671617258387,150.0
0.6160390097524381,1.6232738254706642,1.2201735113128565,150.0
0.6160652663165791,1.623204641902547,1.6090477002917334,150.0
0.6160915228807202,1.6231354642313545,1.045558639425807,150.0
0.6161177794448612,1.6230662924563335,1.6745019995948882,150.0
0.6161440360090022,1.6229971265767302,1.2911594027517113,150.0
0.6161702925731433,1.6229279665917904,1.3649243865497158,150.0
0.6161965491372843,1.622858812500761,1.5264771180586387,150.0
0.6162228057014253,1.6227896643028883,1.2589570455261865,150.0
0.6162490622655664,1.6227205219974192,1.7524643606067514,150.0
0.6162753188297074,1.622651385583601,0.8659501817023381,150.0
0.6163015753938484,1.6225822550606794,1.9800580216245578,150.0
0.6163278319579895,1.622513130427903,1.044832842129711,150.0
0.6163540885221305,1.6224440116845182,1.6173436027765173,150.0
0.6163803450862716,1.6223748988297724,1.5056880694953683,150.0
0.6164066016504126,1.6223057918629131,1.3065911525516958,150.0
0.6164328582145536,1.6222366907831889,1.9198705573778023,150.0
0.6164591147786946,1.622167595589846,0.6218352473187443,150.0
0.6164853713428357,1.6220985062821334,2.2993972834612353,150.0
0.6165116279069768,1.6220294228592982,0.690902216368397,150.0
0.6165378844711178,1.6219603453205895,1.8927098508921094,150.0
0.6165641410352588,1.621891273665255,1.412383143389077,150.0
0.6165903975993998,1.6218222078925435,1.4542185588884426,150.0
0.6166166541635408,1.6217531480017031,1.8692308643004822,150.0
0.616642910727682,1.6216840939919828,0.7973062577942654,150.0
0.616669167291823,1.621615045862631,2.312258979390514,150.0
0.616695423855964,1.621546003612897,0.726314220672925,150.0
0.616721680420105,1.6214769672420295,1.98886596912971,150.0
0.616747936984246,1.621407936749278,1.3806694802973032,150.0
0.616774193548387,1.6213389121338917,1.6749714252963133,150.0
0.6168004501125282,1.621269893395119,1.6312217059038794,150.0
0.6168267066766692,1.6212008805322111,1.3405548349475864,150.0
0.6168529632408102,1.621131873544417,2.0430697122965196,150.0
0.6168792198049512,1.6210628724309863,1.1223891530341008,150.0
0.6169054763690922,1.6209938771911692,1.9338469055290362,150.0
0.6169317329332333,1.6209248878242153,1.4219543041618563,150.0
0.6169579894973743,1.620855904329375,1.898355945870179,150.0
0.6169842460615154,1.6207869267058996,1.3086983614863748,150.0
0.6170105026256564,1.6207179549530382,1.9211201582052357,150.0
0.6170367591897974,1.620648989070042,1.6288682566183879,150.0
0.6170630157539385,1.620580029056161,1.5670017304312407,150.0
0.6170892723180795,1.620511074910647,1.8539418165261696,150.0
0.6171155288822205,1.6204421266327504,1.4685424632081001,150.0
0.6171417854463616,1.6203731842217226,2.13842207748465,150.0
0.6171680420105026,1.6203042476768146,0.8796137026237475,150.0
0.6171942985746437,1.6202353169972772,2.4733901175185906,150.0
0.6172205551387847,1.6201663921823628,1.0308961273091488,150.0
0.6172468117029257,1.6200974732313227,2.025666528892418,150.0
0.6172730682670667,1.6200285601434083,1.6869051198240332,150.0
0.6172993248312078,1.619959652917872,1.628340285741086,150.0
0.6173255813953489,1.619890751553965,2.14590520557133,150.0
0.6173518379594899,1.61982185605094,0.8841829711884057,150.0
0.6173780945236309,1.619752966408049,2.6422743323306,150.0
0.6174043510877719,1.6196840826245444,0.805424422936074,150.0
0.6174306076519129,1.6196152046996788,2.276489219336839,150.0
0.617456864216054,1.6195463326327046,1.5431095739487668,150.0
0.6174831207801951,1.6194774664228744,1.9759467294599766,150.0
0.6175093773443361,1.6194086060694417,1.7098246422391898,150.0
0.6175356339084771,1.6193397515716583,1.7383453851851522,150.0
0.6175618904726181,1.6192709029287788,2.145192864135123,150.0
0.6175881470367591,1.6192020601400556,1.4276788361115502,150.0
0.6176144036009003,1.619133223204742,2.14454826392264,150.0
0.6176406601650413,1.6190643921220915,1.5826213846823298,150.0
0.6176669167291823,1.6189955668913585,2.2819513919882906,150.0
0.6176931732933233,1.618926747511796,1.1319738070959557,150.0
0.6177194298574643,1.618857933982658,2.541650789977111,150.0
