c,minK,uK,minA4,uA4,minA7,minOdd,uOdd,minCrT,minCrV,maxv,v_start,v_end
-422.5,-3545.1553560613097,0.695701425356339,507.5424056627877,0.7099849962490622,2.0015301172172646,9614.364439340019,0.6186121530382596,1.005069401853415,234.682429238553,589.0697004828555,-422.5,-589.0697004828555
-420.0,-3524.3104426759865,0.695701425356339,504.6505993139043,0.7099849962490622,2.0015301172172646,9500.965105369829,0.6186121530382596,1.005069401853415,233.28131191783774,585.59563337651,-420.0,-585.59563337651
-417.5,-3503.4655292906623,0.695701425356339,501.75879296502086,0.7099849962490622,2.0015301172172646,9388.238516021009,0.6186121530382596,1.005069401853415,231.88019618435482,582.1215662701646,-417.5,-582.1215662701646
-415.0,-3482.620615905339,0.695701425356339,498.86698661613747,0.7099849962490622,2.0015301172172646,9276.184671293566,0.6186121530382596,1.005069401853415,230.4790820665195,578.6474991638191,-415.0,-578.6474991638191
-412.5,-3461.7757474753903,0.6957276819204801,495.975180267254,0.7099849962490622,2.0015301172172646,9164.803571187493,0.6186121530382596,1.005069401853415,229.07796959342957,575.1734320574737,-412.5,-575.1734320574737
-410.0,-3440.9309260649043,0.6957276819204801,493.0833739183706,0.7099849962490622,2.0015301172172646,9054.095215702793,0.6186121530382596,1.005069401853415,227.6768587948854,571.6993649511282,-410.0,-571.6993649511282
-407.5,-3420.0861046544173,0.6957276819204801,490.19156756948706,0.7099849962490622,2.0015301172172646,8944.059604839467,0.6186121530382596,1.005069401853415,226.27574970141205,568.2252978447827,-407.5,-568.2252978447827
-405.0,-3399.241283243931,0.6957276819204801,487.2997612206037,0.7099849962490622,2.0015301172172646,8834.696738597515,0.6186121530382596,1.005069401853415,224.87464234428077,564.7512307384374,-405.0,-564.7512307384374
-402.5,-3378.3964629252405,0.6957539384846211,484.4079548717203,0.7099849962490622,2.0015301172172646,8726.006616976932,0.6186121530382596,1.005069401853415,223.47353675553234,561.2771636320919,-402.5,-561.2771636320919
-400.0,-3357.5517362869214,0.6957539384846211,481.5161485228369,0.7099849962490622,2.0015301172172646,8617.989239977727,0.6186121530382596,1.005069401853415,222.07243296800078,557.8030965257465,-400.0,-557.8030965257465
