u,x,cminus,cplus,c55,c56,disc,cV,delta_a9
0.6981695423855964,1.432316850407238,-41.48501117734685,671.8681037462682,630.3830925689213,-27872.455793616788,508872.6665712243,0.119374169943082,1.2692216290369218
0.6981432858214554,1.4323707186030894,-127.95095900384484,650.5425950030453,522.5916359992004,-83237.54890348947,606052.2136302787,0.11960922525721927,1.242784944569924
0.6981170292573143,1.4324245908509654,-215.1215139573909,630.332545435931,415.2110314785401,-135598.09147079336,714792.5665446466,0.11984412898266553,1.2161294277686079
0.6980907726931733,1.4324784671513235,-156.48202871861992,623.6166476088431,467.13461889022324,-97584.7981605365,608553.9448078601,0.1200787372639276,1.1892613847835833
0.6980645161290322,1.4325323475046212,2.7999369941282453,633.623942121583,636.4238791157113,1774.1071159116036,397938.92544504313,0.12031312900223005,1.1621874774723542
0.6980382595648912,1.4325862319113152,134.12781487362474,654.3360896867326,788.4639045603574,87764.66990263358,270616.64918403,0.12054750715315914,1.1349147371331663
0.6980120030007502,1.432640120371863,248.52788760841293,695.9333551134372,944.4612427218501,172958.84666257803,200171.6523533893,0.12078207161825133,1.1074505796186718
0.6979857464366092,1.4326940128867225,342.98185569470786,778.5407300694977,1121.5225857642056,267025.34433314897,189711.53304663394,0.12101702400399363,1.0798028218336764
0.6979594898724681,1.432747909456351,360.7768960059341,806.587434359092,1167.364330365026,290998.1109254633,198747.03610673244,0.12125257681846961,1.0519796996144757
0.697933233308327,1.4328018100812066,312.2023700330976,739.6822560913017,1051.8846261243993,230930.55342313304,182739.05298433523,0.12148879965057917,1.0239898869862896
0.697906976744186,1.4328557147617462,265.90553624967106,696.0282347794971,961.9337710291682,185077.76101395412,185005.53579057963,0.12172553683562695,0.995842516791265
0.697880720180045,1.432909623498428,231.58996699094175,669.7208062700774,901.3107732610192,155100.61941723415,191958.63232743985,0.12196269271922164,0.9675472026721981
0.697854463615904,1.4329635362917097,181.891493851145,639.9769051657499,821.868399016895,116406.35531083081,209842.24405927083,0.12220017068290566,0.9391140623951806
0.697828207051763,1.4330174531420492,123.72723936902719,612.6546119538798,736.381851322907,75802.06382375615,239049.97566272726,0.12243787703329098,0.910553742482755
0.6978019504876218,1.433071374049905,119.73095248000254,604.4245333575363,724.1554858375389,72368.32508117889,234927.8673438864,0.12267570689976631,0.881877444122462
0.6977756939234808,1.4331252990157344,173.75736554893706,617.599808746528,791.357174295465,107312.51573132406,196996.1143836067,0.12291363926023297,0.8530969503047106
0.6977494373593398,1.4331792280399958,188.9271221881688,619.0346879473323,807.9618101355011,116952.4421285406,184992.51812327316,0.12315176390380303,0.8242246541282229
0.6977231807951988,1.4332331611231472,186.733067802669,612.6466052330511,799.3796730357201,114401.38007405831,181402.34136646148,0.12339009431532956,0.7952735881998161
0.6976969242310578,1.4332870982656474,190.21010109315213,609.190157531131,799.4002586242832,115874.1214489497,175544.287692772,0.12362862926894704,0.7662574550321659
0.6976706676669167,1.4333410394679542,185.32162678512825,601.598044290981,786.9196710761092,111489.12823875622,173286.05577150703,0.12386737001263225,0.737190658323415
0.6976444111027756,1.433394984730526,220.02631483194207,617.0279074944026,837.0542223263446,135762.37663445785,157610.2645765302,0.12410630913455432,0.7080883349762301
0.6976181545386346,1.4334489340538217,255.6281701003001,642.3408308678149,897.9690009681151,164200.41117544592,149546.68199789105,0.1243455033689933,0.6789663876806595
0.6975918979744936,1.4335028874382991,226.39682210212234,614.4864176712997,840.883239773422,139117.77218569966,150613.53418904764,0.12458503688512526,0.6498415178534047
0.6975656414103526,1.4335568448844174,161.98365742779956,572.1810138562078,734.1646712840073,92683.97333517499,168261.87122085458,0.12482483078291251,0.6207312586798233
0.6975393848462115,1.4336108063926354,102.09100950329523,543.5480961995931,645.6391057028884,55491.37385461069,194884.35939438274,0.12506476555890322,0.5916540079586767
0.6975131282820705,1.433664771963411,35.86329806349306,519.232296453123,555.0955945166161,18621.382611890345,233645.58860419408,0.12530472478436464,0.5626290603931352
0.6974868717179294,1.4337187415972037,-64.65636003313205,493.72329696350994,429.0669369303779,-31922.351245217666,311787.8413476875,0.12554459416535727,0.5336766389039193
0.6974606151537884,1.433772715294472,-116.42669122431138,478.5574569876891,362.1307657633777,-55716.861277797354,354006.13662355975,0.12578423047167936,0.5048179244697464
0.6974343585896474,1.4338266930556751,-14.463777499527168,484.9585616077031,470.4947841081759,-7014.332731584553,249422.67279933728,0.12602355024269565,0.47607508390992453
0.6974081020255063,1.433880674881272,123.82143858380189,515.1501539095792,638.9715924933811,63786.63314375105,153138.16343852325,0.12626270737498888,0.44747129492800974
0.6973818454613653,1.4339346607717216,215.28135516856642,565.7531392699376,781.034494438504,121796.10251290287,122830.4714511981,0.12650191087393586,0.4190307676234022
0.6973555888972243,1.433988650727483,282.79636166875775,664.0872138458956,946.8835755146533,187801.44790636154,145382.71395396802,0.1267413660357503,0.3907787615481081
0.6973293323330833,1.4340426447490158,314.1481894990826,774.0312790871016,1088.1794685861842,243160.5249408721,211492.45608902187,0.12698128355312208,0.36274159724636035
0.6973030757689422,1.4340966428367787,306.21785663731396,744.1001637809323,1050.3180204182463,227856.75727647138,191740.9149094181,0.12722185569199557,0.33494666104874365
0.6972768192048011,1.4341506449912318,271.6882123598462,644.0782235204272,915.7664358802733,174988.4611681703,138674.3204121776,0.12746304648603493,0.30742240171375873
0.6972505626406601,1.4342046512128337,241.15442621246993,590.9944892244131,832.148915436883,142520.9369436451,122388.06968820037,0.12770469990835448,0.28019831730814826
0.6972243060765191,1.4342586615020445,206.79382004017054,549.8192925778397,756.6131126180103,113699.23184395565,117666.47480969125,0.1279467285966322,0.2533049304922751
0.6971980495123781,1.4343126758593234,151.70456065775173,506.58312420973925,658.287684867491,76850.97029486977,125938.79486872203,0.1281890328182213,0.22677375013683443
0.6971717929482371,1.43436669428513,98.0344822865836,477.75931846064464,575.7938007472283,46836.887442880325,144190.95120741753,0.1284315150415949,0.2006372169284287
