c4,a1,T,cm,cp,c55,c56,disc,K6,K1000,violation
-10,0.1,0.6,-789.1800650946966,41.085822102742384,-620.2228342799995,-531345.89319153,955.2107068641626,0.07469108802035934,5.989272550899594e-06,1.8362775405785539
-10,0.4,0.6,-606.7115716565961,62.85074836962396,-412.20031160514236,-627012.1995336694,1061.4478507250124,-0.008061306012923911,-4.5407320098031867e-07,1.847408829696615
-10,0.3,0.15,-597.6751359928141,62.42808515927436,-431.4470908717257,-1015507.6846074641,2133.826154950113,0.0018353514617415292,1.250052335431504e-07,1.852153736332114
-30,0.0,0.75,-813.3066921956124,23.652133810597007,-662.1311189573643,-379237.5161998406,323.65440890866853,0.0828689592524924,8.830661750544524e-06,1.8551778111781434
-30,0.0,0.0,-767.8462833543742,-6.3539761560757455,-680.5843189139431,-416625.09173636505,72.84912008361624,0.015182023911377341,8.282124159963531e-06,1.862907936193381
-30,0.0,0.6,-811.0220514188383,23.629542944461917,-664.3309294234786,-398907.0734427693,330.5515796342054,0.06610655589359933,8.721035872280432e-06,1.8718571105713497
-30,0.0,0.15,-786.7484381378356,10.021246129941602,-671.3056270207416,-436795.29765198345,322.31073476013967,0.025043380179222224,8.391930983331106e-06,1.8746508772045871
-10,0.1,0.45,-782.857159429032,41.20679182517365,-615.4830486506175,-588077.6918990604,1045.557838203224,0.0667014859012092,5.638860994914045e-06,1.8755600204539036
-30,0.0,0.45,-806.5194209567659,23.38508581113147,-666.4649783638463,-417492.12051554746,313.6823982647811,0.050725631773928616,8.611375947469454e-06,1.8838342184594794
-30,0.0,0.3,-798.8943220969453,19.2425747557441,-668.6086726332803,-432185.4854000389,323.9651614755601,0.03696099172091131,8.501676943775693e-06,1.8870467498956207
-10,0.1,0.3,-773.3109977946884,41.55339373226089,-608.9924268588018,-659287.4091942324,1115.1172874430395,0.0552237920426012,5.235795530391964e-06,1.9298248896827346
-40,0.1,0.0,-639.5993185244522,-38.48071119314639,-618.3784559579143,-285930.8797887911,4.197483867933215,0.03502520153237608,4.190654178102681e-06,1.9595002193166857
-20,0.0,0.75,-834.2312968378982,28.690020908239198,-673.1110611594768,-425504.6573464418,545.0207947045208,0.0828689592524924,8.830661750544524e-06,1.9648916920741155
-30,0.3,0.0,-516.3977231436328,-11.98122326612416,-471.41951283005704,-1058948.6609975894,19.46354110308664,-0.001355614344652357,-7.770634171269997e-08,1.9800250225961677
-20,0.0,0.6,-833.8153499138039,28.338125660617038,-674.9184356628357,-456096.78333059745,535.032097420753,0.06610655589359933,8.721035872280432e-06,1.9959774208500607
-10,0.1,0.15,-759.1947019955111,39.39206454198961,-600.2321848911749,-753188.3624991376,1223.3696806494509,0.04467266084148416,4.761925916694884e-06,2.0141313569093606
-40,0.2,0.0,-560.074132013804,-46.53098872794678,-557.4693452007108,-365719.20526520326,6.641720117990758,0.012129871810664923,1.0514337918997166e-06,2.0212954220339503
-20,0.0,0.45,-831.5945755906007,28.3300732605438,-676.4690763780143,-489698.79731070774,561.8003838340449,0.050725631773928616,8.611375947469454e-06,2.0274685725659483
-20,0.0,0.3,-826.8041711189285,28.123593772766718,-677.7543358159858,-525843.1598174295,568.638184485812,0.03696099172091131,8.501676943775693e-06,2.057918885837136
-10,0.0,0.75,-855.2682016533281,33.75711098768905,-684.2190829573689,-473761.5728893231,736.6239899324946,0.0828689592524924,8.830661750544524e-06,2.0829362253094135
-20,0.0,0.15,-818.2437332031252,23.130334635184,-678.7761219882666,-562684.6670107533,583.8468384414568,0.025043380179222224,8.391930983331106e-06,2.0834650414348075
-20,0.0,0.0,-803.9374865162662,13.858739771826492,-679.5462717304799,-594518.2146208887,585.7565267433856,0.015182023911377341,8.282124159963531e-06,2.09378681803062
-10,0.0,0.6,-856.7666944481996,33.57243002895426,-685.718250516042,-516030.8268078246,789.4908437075578,0.06610655589359933,8.721035872280432e-06,2.1321326192908554
-40,0.0,0.0,-733.3430857164592,-32.84816574835523,-696.3455066244866,-254659.52289914343,45.809262164647286,0.015182023911377341,8.282124159963531e-06,2.149978957125534
-10,0.1,0.0,-738.3626438300291,33.98265704571446,-588.4330903107401,-888288.3417603101,1356.3732168249926,0.03502520153237608,4.190654178102681e-06,2.1687569576478287
-10,0.0,0.45,-856.8981508851996,33.363983094764464,-686.4970759712393,-565823.7165886892,844.6117261343961,0.050725631773928616,8.611375947469454e-06,2.1884604507716277
-10,0.2,0.0,-645.1366156802922,41.83760898191747,-497.2639874439676,-1093597.9200454014,1867.1633929222398,0.012129871810664923,1.0514337918997166e-06,2.214420777610527
-10,0.0,0.3,-855.0571428452747,33.27170606924347,-686.8999989986436,-625348.7732832745,889.4251095594041,0.03696099172091131,8.501676943775693e-06,2.256603377427465
-10,0.0,0.15,-850.2859305833058,33.190241910276114,-686.6559060744337,-697832.7949963255,920.4994005446729,0.025043380179222224,8.391930983331106e-06,2.3417835355659595
-10,0.0,0.0,-840.9927160436455,28.625577320827745,-685.5341295517452,-788338.8915526542,973.9863281246246,0.015182023911377341,8.282124159963531e-06,2.4537455079769646
-40,0.3,0.0,-494.9604129110123,-58.877214182439104,-518.7857317843833,-679203.1581720996,79.3328600531546,-0.001355614344652357,-7.770634171269997e-08,2.718112859744176
-40,0.4,0.45,-542.3130585328174,36.18983003826338,-434.30011397852195,-467671.39776633785,206.50542237577065,-0.013895089619979832,-6.247507067140336e-07,2.903572836915339
-30,0.4,0.45,-556.6144735108966,56.62272353658494,-417.79525035003536,-555309.8887191453,595.9801319902726,-0.013895089619979832,-6.247507067140336e-07,2.9839266473596147
-20,0.3,0.0,-538.5347353792795,25.106484330888392,-434.77293941799275,-1519686.4022064304,718.313647937686,-0.001355614344652357,-7.770634171269997e-08,3.0717374023023942
-20,0.4,0.45,-571.115072430296,74.60520749092852,-403.5467899192821,-647157.5345682462,1104.8384927977186,-0.013895089619979832,-6.247507067140336e-07,3.090675647521623
-10,0.4,0.45,-585.7665280858363,68.95628590240472,-391.80908612006283,-743214.335313645,1387.8005400384118,-0.013895089619979832,-6.247507067140336e-07,3.226103896075335
-10,0.3,0.0,-560.9935025723669,54.3490322793248,-405.5602713651858,-2048713.9091856973,2611.8563386571986,-0.001355614344652357,-7.770634171269997e-08,4.939907078065206
-40,0.4,0.3,-514.5155469970788,16.871594846665616,-435.0926326126287,-532180.2739651669,192.65051960532583,-0.0264184722563881,-6.894952319001301e-07,7.9831612756012404
-30,0.4,0.3,-529.3269619840794,44.35651519394534,-410.24700898727866,-661764.1891881375,665.6213148494007,-0.0264184722563881,-6.894952319001301e-07,8.114101416004953
-20,0.4,0.3,-544.3903548148706,69.24399123745351,-386.7972481519047,-798249.2728619421,1280.1809219855204,-0.0264184722563881,-6.894952319001301e-07,8.295195289779645
-10,0.4,0.3,-559.6277890363033,78.40872430988402,-368.16861378151117,-941635.5249865772,1856.412950256814,-0.0264184722563881,-6.894952319001301e-07,8.536737243751107
-40,0.4,0.15,-481.6544764890481,-16.109100914298807,-451.2239414874348,-750259.7837172707,47.51065346038274,-1.3388713544762898,-6.30139418774421e-07,17927.139858779294
-30,0.4,0.15,-496.45233458832195,22.954834355890583,-408.804259105237,-995711.7594052869,444.14021677810183,-1.3388713544762898,-6.30139418774421e-07,17927.408025373483
-20,0.4,0.15,-511.54292941980896,57.31607263316573,-371.39766958531226,-1260351.117111801,1571.6795187912794,-1.3388713544762898,-6.30139418774421e-07,17927.96428712419
-10,0.4,0.15,-526.8052457270744,87.50072183900102,-341.14135671759925,-1544177.8568368065,2547.547008857735,-1.3388713544762898,-6.30139418774421e-07,17928.735854816892
-40,0.5,0.75,-540.4701943757267,65.49823789907776,-387.6810146508592,-424889.0092271053,0.49370928408461623,-2.39924060376707,-4.160613944243336e-06,57564.673113025405
-30,0.5,0.75,-551.0763380990084,67.57237447754031,-372.4148169323611,-477474.0444670233,184.7099669300187,-2.39924060376707,-4.160613944243336e-06,57564.711175363795
-20,0.5,0.75,-561.791709508213,62.702851376810614,-359.44177288130936,-531927.0301469986,497.536931541732,-2.39924060376707,-4.160613944243336e-06,57564.76148589212
-10,0.5,0.75,-572.5976471387606,75.55827393565994,-347.05804958840224,-588247.9662670352,1193.900090523146,-2.39924060376707,-4.160613944243336e-06,57564.82185340083
-40,0.5,0.6,-519.6808513659519,66.71093853817621,-381.1725345804337,-475466.9001908778,2.557760277602938,-4.0575173295867515,-3.363999254318967e-06,164635.50162073638
-30,0.5,0.6,-530.5053614210838,73.7276848794789,-359.1595490424843,-545584.1798992605,200.42353100004402,-4.0575173295867515,-3.363999254318967e-06,164635.55398930202
-20,0.5,0.6,-541.4636389284663,68.43752479739565,-340.17297273308395,-618383.8612353834,597.952258206773,-4.0575173295867515,-3.363999254318967e-06,164635.62613037496
