point,u,slot,MH,SVT_delta,total
mid,0.5807615435673119,v4,0.0,0.0029495847329542,0.0029495847329542
mid,0.5807615435673119,v5,0.0,0.0,0.0
mid,0.5807615435673119,v6,0.0,0.003056639372348,0.003056639372348
mid,0.5807615435673119,v7,0.0002888988678005243,-2.4883923937543375e-05,0.00026401494386298096
mid,0.5807615435673119,v8,-0.02878374376420794,-0.001622325114487,-0.03040606887869494
mid,0.5807615435673119,v9,1.1376041391900875,0.0709075733755874,1.208511712565675
mid,0.5807615435673119,v10,-0.21976010053724532,-0.0070755601305762,-0.22683566066782151
mid,0.5807615435673119,v11,0.0,-0.001528319686174,-0.001528319686174
mid,0.5807615435673119,v12,0.0,-0.0032716914216275,-0.0032716914216275
mid,0.5807615435673119,v13,0.0,-0.928992586253689,-0.928992586253689
inner_S1,0.61,a1,-0.0,0.0,0.0
inner_S1,0.61,a2,0.2498444638162394,-5.4596480529894365,-5.209803589173197
inner_S1,0.61,a3,-0.3335037440415308,0.0,-0.3335037440415308
inner_S1,0.61,a4,0.2034372838653338,0.0,0.2034372838653338
inner_S1,0.61,a5,-2.444669780619268,134.89928469605942,132.45461491544015
inner_S1,0.61,a6,0.0,0.6697311731119477,0.6697311731119477
inner_S1,0.61,a7,-2.0522083861218934,-23.31495069818832,-25.367159084310213
inner_S1,0.61,a8,-0.2382221381302343,0.0,-0.2382221381302343
inner_S1,0.61,a9,0.2656462295811499,1.1618114819322147,1.4274577115133646
inner_S1,0.61,b1,0.2623601672395019,0.0,0.2623601672395019
inner_S1,0.61,b2,0.0,0.0,0.0
inner_S1,0.61,b3,-1.288834260175885,28.16346352148075,26.874629261304865
inner_S1,0.61,b4,1.7203945392754223,0.0,1.7203945392754223
inner_S1,0.61,b5,-0.5247203344790038,0.0,-0.5247203344790038
inner_S1,0.61,c1,0.0,0.0,0.0
inner_S1,0.61,c2,-0.0,-33.04525089579997,-33.04525089579997
inner_S1,0.61,c3,0.0,0.0,0.0
inner_S1,0.61,c4,-0.0,4.563944636609532,4.563944636609532
inner_S1,0.61,c5,-0.21247867671243453,-1.9482616666139991,-2.1607403433264336
inner_S1,0.61,c6,0.8915487947657732,7.490382028103851,8.381930822869624
inner_S1,0.61,d1,0.2623601672395019,0.0,0.2623601672395019
inner_S1,0.61,d2,-0.0,3.850164035662217,3.850164035662217
inner_S1,0.61,d3,0.18593424997204444,66.2646274050248,66.45056165499685
inner_S1,0.61,d4,0.0756990133262907,0.5903545503535735,0.6660535636798642
inner_S1,0.61,e1,-2.163074801601811,55.38474521647744,53.22167041487563
inner_S1,0.61,e2,-0.0,-38.31598854552666,-38.31598854552666
inner_S1,0.61,e3,0.0,0.0,0.0
inner_S1,0.61,e4,0.3120569524522523,375.7228287591576,376.03488571160983
inner_S1,0.61,v1,1.4101594584224773,18.68835097310728,20.098510431529757
inner_S1,0.61,v2,2.037410673021935,27.00109232780204,29.038503000823976
inner_S1,0.61,v3,-2.037410673021935,-32.27410034221415,-34.311511015236086
