x,u,a5_unsmoothed_identity,a5_selected,rel_scaled_difference
0.0144786449253982,69.06723696537489,-4.912278019630617,-4.912456489653949,3.6331417444016516e-05
0.0145121736715827,68.90766487712105,-5.423853434425076,-5.423665549757147,3.464043971692314e-05
0.014545780061554,68.74846146224247,-5.285241815680504,-5.285385152573563,2.7120214752410578e-05
0.0145794642751149,68.58962586896006,-5.278592321796136,-5.278513600739329,1.4913267024305768e-05
0.0146132264924843,68.431157247464,-5.1457893463204964,-5.145824561053315,6.843407385851323e-06
0.0146470668942986,68.27305474990709,-4.851058017615824,-4.851037567991526,4.215497778766027e-06
0.0146809856616126,68.11531753040056,-5.653847521538656,-5.653864981177407,3.088098624016058e-06
0.0147149829759001,67.95794474501123,-5.159049512545045,-5.159035949337873,2.6290127938323736e-06
0.0147490590190554,67.80093555175459,-4.801200899963462,-4.8012045207981835,7.541518876780858e-07
0.0147832139733939,67.64428911059197,-5.592677712907772,-5.592687077594695,1.6744549576305167e-06
0.0148174480216531,67.48800458342593,-5.295292549105527,-5.295272210873611,3.840813652461774e-06
0.014851761346994,67.33208113409393,-5.0469475801455035,-5.046971260044665,4.691924927985679e-06
0.0148861541330013,67.17651792836725,-5.20395253003708,-5.203934411206035,3.481744105219661e-06
0.0149206265636853,67.02131413394254,-5.195327489607105,-5.195332952907188,1.0515795384160826e-06
0.014955178823482,66.86646892044122,-5.176208474880408,-5.176216623868785,1.5743161074302245e-06
0.0149898110972549,66.71198145940151,-5.238153007726496,-5.238134148873505,3.6002867734917397e-06
0.0150245235702952,66.5578509242774,-5.256971310897126,-5.256994940713154,4.494948636935388e-06
