u,best_A_grid,best_min_eig_grid,eig_L6_at_best,eig_L42_at_best,eig_L1000_at_best
0.6900562640660165,60.0,-0.67866475139389,-0.67866475139389,0.0034693266770717385,1.0540391218726479e-05
0.6900825206301575,60.0,-0.6794133231108018,-0.6794133231108018,0.003471599807742827,1.054886448571232e-05
0.6901087771942985,60.0,-0.6801531608504103,-0.6801531608504103,0.0034739030840397265,1.0557357418186096e-05
0.6901350337584395,60.0,-0.6814900188624127,-0.6814900188624127,0.0034743976433436884,1.0565758806545189e-05
0.6901612903225807,60.0,-0.682945790579653,-0.682945790579653,0.003474537643847598,1.0574160349724434e-05
0.6901875468867217,60.0,-0.68434879395471,-0.68434879395471,0.0034748429054110587,1.058259289038421e-05
0.6902138034508627,60.0,-0.6857869381810897,-0.6857869381810897,0.0034750464162847123,1.0591039809073116e-05
0.6902400600150037,60.0,-0.6871900213187477,-0.6871900213187477,0.003475362462455852,1.059951542086298e-05
0.6902663165791447,60.0,-0.6889917617086169,-0.6889917617086169,0.00347447734439299,1.0607939331948032e-05
0.6902925731432858,60.0,-0.691104633410238,-0.691104633410238,0.003472658945900516,1.061633047547071e-05
0.6903188297074269,60.0,-0.6927339292398076,-0.6927339292398076,0.0034723121055433522,1.0624836550130739e-05
0.6903450862715679,60.0,-0.6937593437222169,-0.6937593437222169,0.003473795222777159,1.063347437454585e-05
0.6903713428357089,60.0,-0.6942317714711745,-0.6942317714711745,0.00347695532490584,1.064223567060954e-05
0.6903975993998499,60.0,-0.6941860481628482,-0.6941860481628482,0.003481683763132502,1.0651108695705951e-05
0.690423855963991,60.0,-0.6932164353875176,-0.6932164353875176,0.0034892070256939737,1.0660165218615935e-05
0.690450112528132,60.0,-0.6919696122887681,-0.6919696122887681,0.0034975711607398655,1.0669281380600075e-05
0.6904763690922731,60.0,-0.6918697366547308,-0.6918697366547308,0.0035024664193025745,1.0678194715839904e-05
0.6905026256564141,60.0,-0.6930766978191788,-0.6930766978191788,0.0035034095276447706,1.0686882755517702e-05
0.6905288822205551,60.0,-0.6954803235463772,-0.6954803235463772,0.003500738420676936,1.0695369819105213e-05
0.6905551387846962,60.0,-0.6992209174422509,-0.6992209174422509,0.003494043645485866,1.0703639763483649e-05
0.6905813953488372,60.0,-0.7038620681451687,-0.7038620681451687,0.003484659051339166,1.0711779734795685e-05
0.6906076519129782,60.0,-0.7079906964537018,-0.7079906964537018,0.003476849788997679,1.0720054031146093e-05
0.6906339084771193,60.0,-0.7112084019548041,-0.7112084019548041,0.0034718029794089957,1.0728530011931932e-05
0.6906601650412603,60.0,-0.7137832871920146,-0.7137832871920146,0.003468703531318721,1.073715616764322e-05
0.6906864216054013,60.0,-0.7156541872463356,-0.7156541872463356,0.003467728069735053,1.0745940005933189e-05
0.6907126781695424,60.0,-0.7167255043522565,-0.7167255043522565,0.0034691564826017825,1.0754892534210067e-05
0.6907389347336834,60.0,-0.717452238873285,-0.717452238873285,0.0034716219150188955,1.0763928502885208e-05
0.6907651912978244,60.0,-0.7187866386229836,-0.7187866386229836,0.003472270685690468,1.077287188234824e-05
0.6907914478619654,60.0,-0.720433118095941,-0.720433118095941,0.003471991146919115,1.0781781086483362e-05
0.6908177044261065,60.0,-0.721986385487836,-0.721986385487836,0.0034719975824389743,1.0790730460911354e-05
0.6908439609902475,60.0,-0.7236136126904689,-0.7236136126904689,0.003471789405981082,1.0799688125968485e-05
0.6908702175543886,60.0,-0.7251605067241027,-0.7251605067241027,0.003471828270120444,1.0808684029583217e-05
0.6908964741185296,60.0,-0.7269872946550857,-0.7269872946550857,0.0034710383351793527,1.0817651857513868e-05
0.6909227306826706,60.0,-0.7293235198870553,-0.7293235198870553,0.0034687366116337172,1.0826551570698054e-05
0.6909489872468116,60.0,-0.7313490380068216,-0.7313490380068216,0.0034673731865783974,1.0835536248412676e-05
0.6909752438109527,60.0,-0.7327027962314925,-0.7327027962314925,0.00346801968515291,1.0844666397192904e-05
0.6910015003750938,60.0,-0.7334432432083221,-0.7334432432083221,0.003470498613958556,1.0853931153832631e-05
0.6910277569392348,60.0,-0.7336749495784355,-0.7336749495784355,0.003474496640393327,1.0863308025279166e-05
0.6910540135033758,60.0,-0.7330072288023483,-0.7330072288023483,0.0034811759611221346,1.0872863700132387e-05
0.6910802700675168,60.0,-0.7316360492659836,-0.7316360492659836,0.003489953805116512,1.0882558484425618e-05
0.6911065266316578,60.0,-0.7311430510910708,-0.7311430510910708,0.0034961149018121374,1.0892100673713706e-05
0.691132783195799,60.0,-0.7320969566498083,-0.7320969566498083,0.003497963139253318,1.090139369011205e-05
0.69115903975994,60.0,-0.7343339964243792,-0.7343339964243792,0.0034959930333819255,1.0910471524295324e-05
0.691185296324081,60.0,-0.7379612013340019,-0.7379612013340019,0.003489898776973989,1.0919324012162002e-05
0.691211552888222,60.0,-0.7428649711358317,-0.7428649711358317,0.0034800378364524495,1.092797988732482e-05
0.691237809452363,60.0,-0.7476465913485504,-0.7476465913485504,0.003470578044605818,1.0936700510796414e-05
0.6912640660165041,60.0,-0.7514355482298698,-0.7514355482298698,0.0034640899419582215,1.0945640286013855e-05
0.6912903225806452,60.0,-0.7544928070130005,-0.7544928070130005,0.00345978753177793,1.0954747186964179e-05
