q,A,e6,e42,e1000,score
3.0,300,-3785.826559467267,-359.13240397304276,-7.522039743102979e-05,-3785.826559467267
3.0,400,-3806.2176001178236,-361.91401236255524,-7.639197348573046e-05,-3806.2176001178236
3.0,500,-3826.615638446944,-364.6967050180442,-7.757190115489733e-05,-3826.615638446944
3.0,600,-3847.0206601845666,-367.4804798195117,-7.876018906356061e-05,-3847.0206601845666
2.0,2000,-3870.2831300339258,-383.67869754896026,-0.00011598595094387346,-3870.2831300339258
3.0,800,-3887.851596955972,-373.0512673996217,-8.116188015895744e-05,-3887.851596955972
3.0,1000,-3928.7102968456384,-378.62635821605636,-8.359711601015665e-05,-3928.7102968456384
3.0,1500,-4030.9777687590013,-392.58280160515017,-8.983242004616741e-05,-4030.9777687590013
1.5,2000,-4045.9959172980643,-407.16138083210524,-0.0001456345462091496,-4045.9959172980643
3.0,2000,-4133.416298311044,-406.5657737457785,-9.627890335019893e-05,-4133.416298311044
5.0,0,-4240.790915612636,-404.07866145911976,-7.270055405274972e-05,-4240.790915612636
5.0,100,-4252.069695985336,-405.65154856081296,-7.330522411920843e-05,-4252.069695985336
5.0,200,-4263.3489179106555,-407.22450080076743,-7.391225113320274e-05,-4263.3489179106555
5.0,300,-4274.628581127161,-408.79751814135153,-7.452163645113897e-05,-4274.628581127161
5.0,400,-4285.908685374149,-410.37060054485266,-7.513338143051239e-05,-4285.908685374149
5.0,500,-4297.189230389758,-411.9437479737669,-7.574748742979842e-05,-4297.189230389758
5.0,600,-4308.470215914427,-413.5169603905877,-7.636395580859698e-05,-4308.470215914427
5.0,800,-4331.033507449811,-416.6635800376264,-7.760398514807927e-05,-4331.033507449811
5.0,1000,-4353.598557900492,-419.81045918618025,-7.885348034633298e-05,-4353.598557900492
5.0,1500,-4410.018865677786,-427.67879041498617,-8.201870313897536e-05,-4410.018865677786
5.0,2000,-4466.450121422484,-435.5487370005895,-8.524332679995118e-05,-4466.450121422484
10.0,0,-4557.157863532383,-435.5139591024347,-7.317689441792498e-05,-4557.157863532383
10.0,100,-4562.512777382092,-436.26579915067526,-7.345382809266279e-05,-4562.512777382092
10.0,200,-4567.867699549897,-437.0176403516023,-7.373126135768163e-05,-4567.867699549897
10.0,300,-4573.2226300332395,-437.76948270495376,-7.400919434872017e-05,-4573.2226300332395
10.0,400,-4578.577568831436,-438.5213262105857,-7.428762720159249e-05,-4578.577568831436
10.0,500,-4583.932515943094,-439.2731708684153,-7.456656005213827e-05,-4583.932515943094
10.0,600,-4589.2874713655765,-440.0250166782762,-7.484599303624883e-05,-4589.2874713655765
10.0,800,-4599.997407139066,-441.5287117532569,-7.54063599490452e-05,-4599.997407139066
10.0,1000,-4610.707376139265,-443.0324114342613,-7.596872902813109e-05,-4610.707376139265
10.0,1500,-4637.4824439266595,-446.79168077965744,-7.738341835155902e-05,-4637.4824439266595
20.0,0,-4652.652364965091,-444.8163870252533,-7.336557180479762e-05,-4652.652364965091
20.0,100,-4655.242035491947,-445.1804487761984,-7.349843147632775e-05,-4655.242035491947
20.0,200,-4657.831706204932,-445.5445105479065,-7.363140666032508e-05,-4657.831706204932
20.0,300,-4660.421377103469,-445.9085723404142,-7.376449737203828e-05,-4660.421377103469
20.0,400,-4663.011048188089,-446.2726341537202,-7.389770362672642e-05,-4663.011048188089
10.0,2000,-4664.257719112769,-450.5509788846352,-7.881064505895307e-05,-4664.257719112769
20.0,500,-4665.600719458094,-446.63669598774555,-7.40310254396338e-05,-4665.600719458094
20.0,600,-4668.190390913888,-447.0007578426053,-7.416446282603031e-05,-4668.190390913888
20.0,800,-4673.369734381308,-447.72888161448924,-7.443168438032878e-05,-4673.369734381308
20.0,1000,-4678.5490785904,-448.4570054693609,-7.469936841172554e-05,-4678.5490785904
20.0,1500,-4691.497442349006,-450.27731546911195,-7.537060262935585e-05,-4691.497442349006
20.0,2000,-4704.445810722875,-452.0976259860449,-7.604473000250557e-05,-4704.445810722875
