x,u,a1_archive,a1_selected,a2_archive,a2_selected,a5_archive,a5_selected,P,R
1.759566398561211,0.5683218324796923,-0.0017370803926564,-0.0017370803927616628,0.1883622934414142,0.18836229344141422,-1.355666660679005,-1.3556666515358071,-1.9732322441953642,0.00017966731588630266
1.7596473567568154,0.5682956850190073,-0.0017215912825673,-0.0017215912826708223,0.1876766033792117,0.1876766033792117,-1.356783529343207,-1.356783489311619,-1.972872001931869,3.868579757828603e-05
1.7597283149524197,0.5682695399642066,-0.0017061487862037,-0.001706148786309739,0.1869910577871098,0.18699105778710975,-1.3578913427307937,-1.3578914423066042,-1.9725116300677452,-0.0001022826503416669
1.759809273148024,0.568243397314958,-0.0016907528845631,-0.0016907528846679917,0.1863056574706549,0.18630565747065492,-1.3590074904325702,-1.3590074027777796,-1.972151310690308,-0.00024323801969350418
1.7598902313436282,0.5682172570709295,-0.0016754035585423,-0.001675403558647162,0.1856204033819447,0.18562040338194463,-1.3601175807773993,-1.3601175941525045,-1.9717912623046518,-0.0003841802974022806
1.7599711895392325,0.5681911192317892,-0.0016601007889523,-0.0016601007890571242,0.1849352973436224,0.18493529734362238,-1.3612236269668738,-1.3612237066257287,-1.9714310818616405,-0.0005251094650401954
1.7600521477348368,0.5681649837972054,-0.0016448445565171,-0.0016448445566211245,0.1842503401058771,0.1842503401058771,-1.3623350596099364,-1.3623349212664877,-1.9710710158697433,-0.0006660255291115499
1.760133105930441,0.568138850766846,-0.0016296348418738,-0.0016296348419780665,0.1835655327308616,0.18356553273086154,-1.36344105721341,-1.3634411394730381,-1.9707111277281264,-0.0008069284666574133
1.7602140641260453,0.5681127201403795,-0.0016144716255795,-0.0016144716256848923,0.182880876538469,0.182880876538469,-1.364547720122082,-1.3645477579936494,-1.9703512485214807,-0.0009478182540269318
1.7602950223216496,0.5680865919174741,-0.0015993548881093,-0.0015993548882128014,0.1821963725459529,0.1821963725459529,-1.3656526336705062,-1.3656525397416732,-1.9699915916233999,-0.0010886948986941181
