L,u,x,eig_min,eig_mid,eig_max,tracked_0,tracked_1,tracked_2,tracked0_psi,tracked0_dphi,tracked0_V
6,0.7084358589647411,1.4115603937120438,-0.11868338269005854,23.67321753284086,12518.504115714397,-0.11868338269005939,23.67321753284076,12518.504115714393,0.996184176071793,-0.08727584335960172,-0.00012045760019260734
6,0.7084096024006001,1.4116127119272273,-0.1180289626784773,23.615024088222377,12435.14270709101,-0.11802896267847347,23.61502408822289,12435.14270709101,0.9961860844900126,-0.0872540586416054,-0.00011966212814694133
6,0.7083833458364591,1.4116650340208097,-0.11737786587430528,23.55711841105767,12352.574798899732,-0.11737786587431676,23.557118411056166,12352.574798899732,0.9961879954664424,-0.08723223922051254,-0.00011886600224915225
6,0.7083570892723181,1.411717359993222,-0.11673044346046955,23.499519846206567,12270.841628113283,-0.11673044346046803,23.499519846206763,12270.841628113283,0.9961899064820912,-0.08721041384341327,-0.00011806973823105074
6,0.708330832708177,1.411769689844896,-0.11608645719619622,23.442216867055137,12189.904627275044,-0.11608645719619701,23.442216867055027,12189.904627275046,0.996191819095187,-0.08718856470228795,-0.00011727308695612198
6,0.708304576144036,1.4118220235762629,-0.11544535775724445,23.385172429720384,12109.6840584219,-0.1154453577572435,23.3851724297205,12109.684058421904,0.9961937366433994,-0.08716665363507109,-0.0001164754284651452
6,0.708278319579895,1.411874361187754,-0.11480661389251014,23.32835095261511,12030.103933558647,-0.11480661389250528,23.328350952615743,12030.103933558648,0.9961956624237217,-0.08714464290586221,-0.0001156761521950403
6,0.7082520630157539,1.4119267026798008,-0.11416969662859404,23.27171810406169,11951.089858474492,-0.11416969662857061,23.27171810406477,11951.089858474492,0.9961975998306535,-0.08712249362514514,-0.00011487463391676127
6,0.7082258064516129,1.4119790480528354,-0.11353404802683233,23.215237389834954,11872.564864266076,-0.11353404802684809,23.215237389832904,11872.564864266078,0.9961995524967373,-0.08710016414042501,-0.00011407020250471681
6,0.7081995498874718,1.412031397307289,-0.11289932881682413,23.15888794364698,11794.48202661562,-0.11289932881682672,23.158887943646643,11794.482026615618,0.9962015227525932,-0.0870776276493134,-0.00011326244852634062
6,0.7081732933233308,1.4120837504435937,-0.11226583755083017,23.1026864645231,11716.878556136282,-0.1122658375508238,23.102686464523934,11716.87855613628,0.9962035085880221,-0.0870549069927083,-0.00011245179306250961
6,0.7081470367591898,1.4121361074621803,-0.11163389965499695,23.04665601372033,11639.794618601305,-0.11163389965498743,23.046656013721577,11639.794618601305,0.9962055079938692,-0.08703202502230321,-0.00011163867767479961
6,0.7081207801950488,1.4121884683634822,-0.11100373776112765,22.99081086657182,11563.256281639871,-0.11100373776114016,22.99081086657017,11563.256281639875,0.9962075195073631,-0.0870089983573794,-0.00011082342791012891
6,0.7080945236309077,1.4122408331479304,-0.11037559333765497,22.935165175199963,11487.291512464491,-0.11037559333764638,22.935165175201092,11487.291512464493,0.9962095414486057,-0.08698584612078836,-0.00011000640533978328
6,0.7080682670667666,1.412293201815957,-0.10974970377054383,22.879734802694358,11411.927260615794,-0.1097497037705501,22.879734802693527,11411.927260615797,0.9962115722273238,-0.08696258642860381,-0.00010918796284555956
6,0.7080420105026256,1.412345574367994,-0.10912629197736805,22.824533859479935,11337.188088357903,-0.10912629197737979,22.824533859478393,11337.188088357907,0.9962136102833609,-0.0869392370709143,-0.0001083684434778836
6,0.7080157539384846,1.4123979508044735,-0.10850523879478288,22.769554102182756,11263.05446994523,-0.1085052387947811,22.769554102182983,11263.05446994523,0.9962156563390171,-0.08691578969614051,-0.00010754774563693022
6,0.7079894973743436,1.412450331125828,-0.10788632374227979,22.714780778299243,11189.494313855586,-0.10788632374227111,22.714780778300387,11189.494313855586,0.9962177118243051,-0.08689222782956743,-0.00010672563114070561
