u,shape,delta_G4XX,delta_G3X,delta_G2,delta_G2X,delta_a1,delta_c4,delta_E00_linear,delta_E11_linear,delta_E22_linear,local_background_rank
0.7062828207051762,0.9858351516403124,0.6295708947059487,0.6272238268251459,5.916399911127879e-12,-0.4267337645554294,0.2224921889238127,0.2961162440777985,1.3026351154139006e-17,2.3869795029440866e-15,2.2497114805505347e-15,2
0.7062565641410352,0.9904301701401805,0.6311740332199951,0.6325287940084864,-6.361182900292994e-12,-0.4271751238811565,0.22336644349219426,0.29735353286040106,2.1132041110893685e-17,-1.889113865338743e-15,-1.9409510027230736e-15,2
0.7062303075768942,0.994117130454865,0.6321762576885112,0.6372678280500435,4.851828989635876e-12,-0.4272139553094498,0.22403426328157813,0.2983163835459266,4.608437533931999e-17,1.3287981825982342e-15,1.3094263217722095e-15,2
0.7062040510127532,0.9969058453179954,0.6325872159578477,0.641440881358879,-2.6671154288451554e-12,-0.42685861167069217,0.2244982951646993,0.29900811513494646,3.148673526526458e-17,-3.7556763254897874e-16,-4.250166446906227e-16,2
0.7061777944486122,0.9988037217095324,0.6324153281662839,0.6450459482965565,8.139743097664554e-14,-0.42611671146217733,0.224760669215115,0.29943136232465845,7.384738024179995e-18,1.5612511283791264e-17,4.249084094698519e-17,2
0.706151537884471,0.9998157928751338,0.6316673973037781,0.6480798420268278,2.585071899894808e-12,-0.4249946319949058,0.22482296437128016,0.2995880289370043,-3.7359890663564057e-17,1.5612511283791264e-17,1.523698596572468e-17,2
0.70612528132033,0.9999447403060803,0.630348802611885,0.6505378787388303,-5.042050993095593e-12,-0.42349774383996447,0.22468623196704762,0.2994793183587537,5.1798373856229854e-17,3.677613769070831e-16,2.967380878277876e-16,2
0.706099024756189,0.999190905520614,0.6284633589152064,0.6524141454624547,7.796421871055348e-12,-0.42163023489381773,0.22435098396380734,0.29910571699565686,4.161074331817869e-17,-1.2559397966072083e-15,-8.654440952426609e-16,2
0.706072768192048,0.9975522915679134,0.6260138084882247,0.6537006438390383,-9.418033656648272e-12,-0.41939570126420045,0.22381724216035842,0.2984670590265373,1.7299871288081795e-17,1.5491080640472887e-15,1.5115820007091832e-15,2
0.706046511627907,0.9950245542450518,0.6230012062695833,0.6543883541821931,7.719404470601926e-12,-0.41679640407269425,0.22308447603884118,0.2975624426963903,-1.7508603699022445e-17,-1.7555401576885288e-15,-1.6429337700871788e-15,2
0.7060202550637659,0.9916009830846997,0.619425200909038,0.6544667044630532,-5.774339230498703e-12,-0.4138336173906265,0.22215162800393545,0.29639026311021605,-6.128568719636531e-17,1.6323747908941755e-15,1.4688470799867392e-15,2
0.7059939984996249,0.9872724722475343,0.6152842462242284,0.6539231695626923,5.413208075992082e-12,-0.41050787947994877,0.22101712922493602,0.2949482325383239,2.5456003068364573e-17,-2.0816681711721685e-15,-1.8701540916827838e-15,2
0.7059677419354838,0.9820274815482,0.6105752712287241,0.6527437702082826,-5.761363184560903e-12,-0.4068186120793237,0.2196788612809417,0.2932333283969566,3.6556530405643893e-17,2.42861286636753e-15,2.375224329533264e-15,2
0.7059414853713428,0.975851987970685,0.6052937642473422,0.6509128464236047,3.940436011000173e-12,-0.4027642334546873,0.2181341567298818,0.2912417931551184,4.971660019214538e-17,-1.85268467234323e-15,-1.83191440625034e-15,2
0.7059152288072018,0.968729428200856,0.5994338170869545,0.6484128919158939,5.554958009554787e-13,-0.3983422217041373,0.2163797940766141,0.2889691267321625,-3.184868255822164e-17,-3.95516952522712e-16,-3.646012952926834e-16,2
0.7058889722430608,0.9606406329406366,0.5929883444413653,0.6452241017571716,-5.141724703869171e-12,-0.3935493711403013,0.21441200757986412,0.28641009881850715,-1.5834656574272174e-15,-7.28583859910259e-17,1.593069779405018e-15,2
0.7058627156789197,0.9515637540920531,0.5859481813540208,0.6413257069380888,7.057987165343831e-12,-0.38838079830243594,0.21222639036243288,0.28355861839192914,2.342212251977722e-15,-1.700029006457271e-16,-2.357889844747242e-15,2
0.7058364591147787,0.9414741863412799,0.5783031297040733,0.6366941638625724,-5.749162397646309e-12,-0.3828311317340699,0.20981798031028268,0.2804078477276547,-2.0761697336913602e-15,-1.734723475976807e-17,2.1131768263211826e-15,2
0.7058102025506376,0.9303444852713296,0.5700415339554789,0.6313037225012327,1.9784195639099464e-12,-0.37689404452252406,0.20718120616547364,0.2769501294429271,6.998244519965671e-17,-1.6063539387545234e-15,-1.512200644775492e-15,2
0.7057839459864966,0.918144284943405,0.5611497675399805,0.6251270922430149,2.016123097177006e-12,-0.3705617153833566,0.20430982669430756,0.2731769040876725,-5.601108254405167e-18,-1.6896206656014101e-15,-1.781155075984212e-15,2
0.7057576894223556,0.9048402189769584,0.5516130280212227,0.61813408283094,-2.6253377511593733e-12,-0.36382570667598585,0.20119699115128215,0.269078790215948,-5.781949773093934e-18,2.435551760271437e-15,2.3366996280277045e-15,2
0.7057314328582145,0.8903958506265446,0.5414147404868874,0.6102924277722785,2.3619848317028634e-12,-0.35667632694125123,0.19783517260937267,0.26464549412478494,1.1574035804069343e-15,6.938893903907228e-17,-1.2169063070951524e-15,2
0.7057051762940735,0.8747716193242332,0.5305366881098058,0.6015674998039974,1.5117006305917131e-12,-0.3491027810318725,0.19421617131019592,0.2598658133592056,2.336953043941476e-17,-1.4883927423881005e-15,-1.463890937094074e-15,2
0.7056789197299325,0.8579248138003812,0.5189592702710889,0.5919218945236266,-5.02185997191016e-12,-0.3410934369314047,0.1903311333825154,0.25472766086114185,-2.7172425518935433e-15,1.0061396160665481e-16,2.6986664366640248e-15,2
0.7056526631657914,0.839809585450112,0.5066610333099972,0.581316159674553,5.751248710518054e-12,-0.3326353253044008,0.18617051091115838,0.24921801035593147,3.3625137641673814e-15,-7.979727989493313e-17,-3.3172538310591966e-15,2
0.7056264066016504,0.8203770203855045,0.49361936569405096,0.5697078933375224,-4.454909521166747e-12,-0.32371483385431,0.18172413622786293,0.24332299505658042,-2.6955400150420743e-15,1.3877787807814457e-17,2.6614296302334725e-15,2
0.7056001500375093,0.799575295040965,0.4798102581687555,0.557052362169731,1.6281846344217343e-12,-0.31431741026707594,0.1769812262371894,0.23702791243086263,3.6461809618668064e-17,-2.14064876935538e-15,-2.0543715449571325e-15,2
0.7055738934733683,0.7773499488626954,0.46520820521207074,0.5433030699930821,-1.219350784325422e-13,-0.3044274017500578,0.17193041995016442,0.23031727345750855,3.2336979741663634e-17,2.185751579730777e-16,2.518430455268305e-16,2
