u,x,f3_delta,f3X_delta,f3XX_delta,f4_delta,f4X_delta,f4XX_delta,f4XXX_delta,tf4_delta,f2XX_delta,f2XF_delta,f2FF_delta,f2XY_delta,f2FY_delta,f2YY_delta,e3_emitted,e3_historical_target
0.7128107142857143,1.402896982268384,9654.339789514699,7056.9221198910245,-911.8157359916332,-6344.029059039398,-3874.276497523433,-491.7283699454194,164.02986267754434,-4626.143317273928,3290.7229610473632,-1950.917088353405,-1017.9747305079,7546.343983558383,1083.2006625994034,2218.0400750476824,580304615.8197006,121.60356408353812
0.7128071428571429,1.402904011303398,9634.954014781986,7041.436933547632,-910.8415470486631,-6328.594822008556,-3854.2802037990195,-489.6397793869254,163.8507990042051,-4615.050508384574,3263.0007512689544,-1943.6710082179295,-1022.3753919322826,7531.851692514068,1088.8588061813102,2230.4281531344423,-6238669091.837865,122.05760580995964
0.7128035714285714,1.4029110404088485,9614.79615156428,7025.49223405995,-909.8347714756509,-6313.455557117433,-3833.6266869858864,-487.4965343132245,163.66587927326722,-4603.457772216505,3235.472420599657,-1936.1741701770045,-1026.6927308523486,7516.8599336781535,1094.4752462863385,2242.692988884833,5330514155.811958,122.51183055934546
0.7128,1.4029180695847363,9594.901793154879,7009.656763993867,-908.7609416348284,-6297.788577486783,-3813.8822681892248,-485.4300078568881,163.4689041892301,-4591.777918432037,3208.0145196708604,-1928.4171700669654,-1030.8421291426616,7501.164071112387,1099.9929932840914,2254.692418935689,1355277533.657052,122.96623572812776
0.7127964285714286,1.4029250988310629,9575.158339016434,6993.546915477497,-907.6456746463157,-6282.244886664112,-3794.47383630071,-483.34965607438266,163.26448153964643,-4580.755970716917,3180.717749868056,-1921.1458150089757,-1035.1786795972253,7485.854950340757,1105.5549419934207,2266.8717021693024,-6866947090.580305,123.42081872918392
0.7127928571428571,1.402932128147829,9554.61906421061,6976.961916351974,-906.503736153971,-6267.059680419195,-3774.330756707013,-481.20698979945564,163.05527537787688,-4569.267682849837,3153.632246355747,-1913.6753869129554,-1039.402443650798,7470.144089792412,1111.066975328339,2278.896469636071,5095457152.313214,123.87557699165828
0.7127892857142857,1.402939157535036,9534.277083758663,6960.465894535056,-905.293923499058,-6251.331000192651,-3755.0368993027305,-479.1381581365418,162.83387554869074,-4557.6181231163555,3126.6135007496277,-1905.8963864443838,-1043.4501300580312,7453.663241161102,1116.47400201047,2290.6407888716,2302520349.5654554,124.33050796078324
0.7127857142857142,1.4029461869926847,9514.165287082564,6943.725419847983,-904.0408919453906,-6235.672140802153,-3736.181023231782,-477.06244814231997,162.60470975516694,-4546.6885329703155,3099.7471108354644,-1898.6303660490175,-1047.6978073400385,7437.593915334185,1121.9257235218315,2302.5738709322504,-7500429423.650481,124.78560909770022
0.7127821428571428,1.4029532165207763,9493.265229559258,6926.537999794835,-902.768960727963,-6220.427675793738,-3716.541480426728,-474.9229480419929,162.37215305312688,-4535.2818236476905,3073.114899783928,-1891.1663000064718,-1051.815128822995,7421.167054818435,1127.3250324788723,2314.3380299986043,4626051701.636817,125.24087787927893
0.7127785714285714,1.4029602461193118,9472.519560245586,6909.4226706346235,-901.4319292239584,-6204.674753632481,-3697.6711971696996,-472.85187770076953,162.12789604536482,-4523.677321751744,3046.557994108055,-1883.3747745280446,-1055.7935692753751,7403.962334309602,1132.6316321938677,2325.864581704456,3400109247.7693777,125.69631179793734
