dx,R,jost_order,root_index,omega_re,omega_im,residual
0.01,35.0,8,0,0.8087806021991092,-0.16849393198698678,7.535460940424465e-08
0.01,35.0,8,1,0.8846073550372064,-0.16747678006318517,1.3082613498635853e-07
0.01,35.0,8,2,0.9585932290727199,-0.16621557915337168,1.5953230736700706e-08
0.01,35.0,8,3,1.030589267135475,-0.1655486199169271,7.817150408194177e-09
0.01,35.0,8,4,1.1014460316250085,-0.1666562174744548,3.0736087198754053e-09
0.01,35.0,10,0,0.8087806290664565,-0.1684939203219208,1.1709355802379355e-08
0.01,35.0,10,1,0.8846073638929188,-0.16747677410848566,6.791379476806899e-08
0.01,35.0,10,2,0.9585932391404237,-0.1662155749385599,2.3939286412435955e-08
0.01,35.0,10,3,1.0305892738737117,-0.16554861936373738,1.9708357081750063e-08
0.01,35.0,10,4,1.1014460430788158,-0.1666562228587476,4.7804625928742444e-08
0.01,40.0,6,0,0.7869580498372689,-0.1580308532524172,1.8540321558897287e-07
0.01,40.0,6,1,0.8548353512235882,-0.15757604229184943,4.999412908044858e-08
0.01,40.0,6,2,0.9215616272381195,-0.15686335159004128,3.002111240126476e-08
0.01,40.0,6,3,0.9869835392416005,-0.15622128711567893,5.7227003174384137e-08
0.01,40.0,6,4,1.0512303940492826,-0.15629450328022113,1.4450955000644301e-08
0.01,40.0,6,5,1.1150876272383203,-0.15765786282286184,7.965684179137915e-08
0.01,40.0,8,0,0.7180803487822964,-0.15811757447935712,3.357440134574677e-07
0.01,40.0,8,1,0.7869571445715217,-0.158031374236042,3.644786095673664e-08
0.01,40.0,8,2,0.8548347003587397,-0.15757636161561286,2.0022243974374673e-08
0.01,40.0,8,3,0.9215611455690865,-0.156863546420879,1.1516847969171087e-07
0.01,40.0,8,4,0.9869831739120734,-0.15622141973550832,1.7542855709864985e-08
0.01,40.0,8,5,1.0512301164100901,-0.15629460546568438,7.943586036026942e-08
0.01,40.0,8,6,1.1150874028036428,-0.15765792737747136,5.403157617336527e-08
0.01,40.0,10,0,0.7180803696424645,-0.1581175579073483,1.2338635486692494e-07
0.01,40.0,10,1,0.7869571588177285,-0.15803136627455852,5.7799620894986116e-08
0.01,40.0,10,2,0.854834714467455,-0.1575763607883801,3.191674575512939e-08
0.01,40.0,10,3,0.9215611560270166,-0.15686355700960902,3.7762623429144704e-08
0.01,40.0,10,4,0.9869831775633744,-0.15622142150408058,3.551352403162483e-08
0.01,40.0,10,5,1.0512301178075285,-0.15629459927955142,1.945297887244926e-08
0.01,40.0,10,6,1.115087406437501,-0.15765792635015413,3.426892740922205e-08
0.01,45.0,6,0,0.7077101488130626,-0.14451822736734007,3.1771601023638905e-07
0.01,45.0,6,1,0.7697282875805556,-0.14467596797178975,1.0745314540184781e-07
0.01,45.0,6,2,0.8310562558798816,-0.14457302119456555,6.85888938192544e-08
0.01,45.0,6,3,0.9513186094323823,-0.14388264328419784,6.934833628988737e-08
0.01,45.0,6,4,1.0101499696678218,-0.1437293434810582,8.23255779931955e-09
0.01,45.0,6,5,1.244740079566688,-0.14971907404667673,3.866825788893272e-07
0.01,45.0,8,0,0.7077094967670173,-0.14451862715087593,2.9711297940143464e-07
0.01,45.0,8,1,0.7697278231818827,-0.1446762164944642,7.992770067039774e-08
0.01,45.0,8,2,0.8916157342485038,-0.14426202363262045,7.332367955547406e-08
0.01,45.0,8,3,0.9513184214532073,-0.14388271308720627,5.674762163742761e-08
0.01,45.0,8,4,1.0683572274654143,-0.14420667721891173,5.7861837503522795e-08
0.01,45.0,8,5,1.185229194343088,-0.14750681829902623,1.063361306186108e-07
0.01,45.0,10,0,0.7077095085934083,-0.14451862848300168,7.493784535779447e-08
0.01,45.0,10,1,1.0683572288979668,-0.14420667885191124,1.805435205503213e-08
0.01,45.0,10,2,1.244740036933667,-0.1497191091088943,1.7082493322510088e-07
