u,x,phi,A0prime,f3,f4,N4,f,h,X,phiprime,Fbg,f2,f2X,f2F,f2phi,f3X,f3phi,f4X,f4phi,f4Xphi,JA_bracket,Ephi_residual,scalar_coeff,E00_vec,E11_vec
0.5519710403514172,1.8116892497898824,0.5105916968664228,1.389632483871472e-89,0.602736119658297,-0.5720565419274035,-0.006473467474976,0.4382337423553042,0.49448818393027527,-0.04967531716651172,-0.448236647377442,1.0894819118725463e-178,1.0894819114505897e-178,inf,1.0,inf,inf,inf,-0.006473467474976,-123.95759894442588,-3.9613698964701283,-1.2712042174109484e-09,,0.0,-9.523784596120212e-195,
0.5520140862336689,1.8115479748404424,0.5106550304102346,9.981909328945694e-82,0.5830230787174114,-0.5796837275508523,-0.0067186361135195,0.4381969976141928,0.494454978208986,-0.049700019924024556,-0.44836313943868067,5.62153089402194e-163,5.621530892871892e-163,inf,1.0,inf,inf,inf,-0.0067186361135195,-116.87922500724201,-3.7810676469910205,-6.713681478158831e-10,,0.0,8.580320005661423e-179,
0.5520571266829422,1.8114067397490925,0.5107183639540465,3.875234042119793e-75,0.5644488337928657,-0.5868599794370153,-0.0069524747466667,0.4381602574936743,0.49442175550287726,-0.04972473600899762,-0.4484896776701883,8.47286850851517e-150,8.472868502994215e-150,inf,1.0,inf,inf,inf,-0.0069524747466667,-109.75828936842741,-3.6040747320399635,-2.1380392793658373e-09,,0.0,-7.549139215836369e-166,
0.5521001616975472,1.811265544507887,0.5107816974978583,1.5627292676270515e-69,0.5470251135141523,-0.5935805366282573,-0.0071751750920156,0.4381235219939412,0.494388516990925,-0.04974946450813859,-0.44861626208444433,1.3778733518558915e-138,1.377873350843574e-138,inf,1.0,inf,inf,inf,-0.0071751750920156,-102.39073938049576,-3.4283084861238566,-2.410303417683772e-09,,0.0,-2.075589140590827e-154,
0.552140926696711,1.8111318173472333,0.510841697697259,6.075825707040346e-65,0.5315903361485954,-0.5995227190754924,-0.0073760536093034,0.4380887242037032,0.4943570135686743,-0.0497729027481637,-0.44873622677976865,2.0828559884774607e-129,2.0828559881028886e-129,inf,1.0,inf,inf,inf,-0.0073760536093034,-95.92589851519229,-3.2706885060990283,-5.898961915728335e-10,,0.0,-0.0,
0.5521839511231705,1.8109906996861256,0.5109050312410708,1.0317256972555892e-60,0.5162361730205749,-0.6054234719290644,-0.0075784866515482,0.4380519976992058,0.4943237431427725,-0.04979765631398105,-0.4488629011894265,6.0059858580346375e-121,6.005985854958649e-121,inf,1.0,inf,inf,inf,-0.0075784866515482,-90.68137210639888,-3.1256754546479524,-1.6797043328724975e-09,,0.0,-0.0,
0.5522269701099883,1.810849621851732,0.5109683647848826,5.321093872023134e-57,0.5016446920876529,-0.6110222993547036,-0.0077722461425984,0.4380152758128356,0.494290456495355,-0.049822422626161336,-0.4489896218293277,1.597588089630722e-113,1.597588088306073e-113,-3.1934001999129575e-89,1.0,-1.2490808071882764e-89,-4.077485275697464e+24,-1.594885791155484e+24,-0.0077722461425984,-86.0677799869566,-2.9933986550390506,-2.7189463976725475e-09,,-1.2994262207056124e-113,-0.0,1.1496103684209445e-113
0.5522699836554787,1.810708583836104,0.5110316983286944,1.0242821236549292e-53,0.4878077289203247,-0.6163223705451311,-0.0079577536938576,0.4379785585444432,0.49425715403880854,-0.049847201368401504,-0.4491163887243743,5.919830951137485e-107,5.919830946957779e-107,-8.521276014310895e-85,1.0,-3.3346982011050287e-85,-2.935432035508245e+22,-1.1487457882622828e+22,-0.0079577536938576,-81.34200694505843,-2.8660849006351534,-2.3149058248636903e-09,,-3.507494418206714e-107,-0.0,4.296569982333651e-107
0.5523107283093418,1.8105750055970549,0.5110916985280951,6.176825227801826e-51,0.475387630830254,-0.6210707766645327,-0.0081262675937533,0.4379437780230325,0.4942255897099876,-0.04987068747368819,-0.4492365263595913,2.1528189047106025e-101,2.1528189042768077e-101,-5.188182208172641e-81,1.0,-2.031359247430379e-81,-4.9131945592545477e+20,-1.923691729850405e+20,-0.0081262675937533,-76.94463912710245,-2.7519694194594546,-6.605562982448659e-10,,-1.2758673493843815e-101,-0.0,1.5744555101232068e-101
0.5523537312537297,1.81043404510042,0.5111550320719069,2.6876515953653646e-48,0.4629965922031439,-0.6257981457321067,-0.0082969143254447,0.4379070697431696,0.4941922549036062,-0.04989549164661938,-0.4493633833776876,4.075960080160269e-96,4.0759600769608505e-96,-2.0420180544274993e-77,1.0,-7.999496789041412e-78,-1.0210776183057973e+19,-4.000017099348418e+18,-0.0082969143254447,-72.37017152553487,-2.638022257481243,-2.5728034999759203e-09,,-2.4171968787549506e-96,-0.0,3.3700923194819123e-94
0.552396728751828,1.8102931243991205,0.5112183656157187,6.426215578404197e-46,0.4513360551864158,-0.6302360860416716,-0.008460549919484,0.4378703660790963,0.49415890428430237,-0.049920308261943644,-0.4494902866989998,2.3302453855641002e-91,2.3302453834718712e-91,-4.01574753229524e-74,1.0,-1.5739175538446479e-74,-3.5112901526705146e+17,-1.3762023550517136e+17,-0.008460549919484,-67.74766634427688,-2.530323277947233,-2.9424243113643916e-09,6.920284304201368e-75,-1.3827782090688512e-91,-0.0,1.7291731798989185e-91
0.552439720801955,1.8101522434852064,0.5112816991595305,9.186424073467598e-44,0.4403978875207895,-0.6343877577583492,-0.0086175947371368,0.43783366703020676,0.4941255378529361,-0.04994513732258916,-0.44961723634374245,4.76201907634422e-87,4.76201907392918e-87,2.917722688269263e-71,1.0,1.1441536845121516e-71,1.2480378059281518e+16,4894046509853897.0,-0.0086175947371368,-63.525181395704806,-2.4306903462170255,-1.6617409188046314e-09,5.068476141346017e-71,4.06927688175437e-87,-0.0,7.535807984607032e-88
0.5524804450856647,1.8100188140504143,0.5113416993589311,6.701156229390829e-42,0.4305880227737891,-0.6381019968293793,-0.0087608117690746,0.43779890376522124,0.4940939121257738,-0.049968671724879093,-0.4497375471716526,2.533986656447027e-83,2.533986654949107e-83,-3.5632011512154145e-67,1.0,-1.3979770195249491e-67,-2.863455671917416e+16,-1.1234407085239532e+16,-0.0087608117690746,-60.43221319594097,-2.3441687846499,-1.9366475028466043e-09,2.846436938539942e-68,-9.370571224506775e-85,2.550061003216022e-99,1.8095519544992709e-84
